PART NUMBER,E/P,Alloy,Spec,Size,Gr. Wt.,Mults ,Yields,2014 Price,2015 price
10042206P05,CF6-80C,6061,AMS 4127, 19.50 ,887.4,1, 1 = 1,"3,682","3,308"
10042656 P02 (1840M97 G01),GE90 Base,7050,AMS 4108, 19.50 ,549.5,5, 1 = 1,898,880
10042983 P01 (also see 4150T31 P01),CF34-3B,6061,AMS 4127, 13.00 ,353.8,1, 1 = 1,"1,467",1438
1275M11P02,F110/F118,718 T,C50TF104  , 8.00 ,120.1,1, 1 = 1 (2),"2,358",2311
1276M66 P02 (G01),CFM56/F110,2219,AMS 4143, 7.25 ,21.1,1, 1 = 1 (6),572,561
1276M66G01 (P01),CFM56/F110,2219,AMS 4143, 7.25 ,25.6,1, 1 = 1 (6),504,494
1283M23 P01 (G01 / G02),FII0-129,347,AMS 5646, 6.00 ,49.0,3, 1 = 1 (12),157,154
1284M83 G05-G08 (P01),F110,6061,AMS 4127, 7.25 ,39.1,1, 1 = 1 (8),293,287
1292M32 P02,CF6/LM6000,718,C50TF6, 6.00 ,42.1,1, 1 = 1,"1,089","1,067"
1333M65G01,CF6/LM2500,2219,AMS 4143, 7.25 ,53.0,1, 1 = 1 (12),761,746
1333M65G02,CF6/LM2500,2219,AMS 4143, 7.25 ,51.4,1, 1 = 1 (12),464,455
1333M65G03,CF6/LM2500,2219,AMS 4143, 7.25 ,48.6,1, 1 = 1 (12),463,454
1333M65G06,CF6/LM2500,2219,AMS 4143, 7.25 ,49.2,1, 1 = 1 (12),501,491
1333M65G07,CF6/LM2500,2219,AMS 4143, 7.25 ,46.4,1, 1 = 1 (12),501,491
1441M62 P01,F110,6-4,AMS 4928, 4.00 ,13.3,1, 1 = 1,756,741
1441M63P01,F110,6-4,AMS 4928, 4.00 ,10.9,1, 1 = 1,738,723
1523M37 P01 / P02,CFM56-5/7,718,B50TF15, 6.00 ,72.4,1, 1 = 1 (5),"2,025","1,985"
1583M29 P03,CF6-80E,718,B50TF15, 4.00 ,20.4,2, 1 = 1,492,482
16002 (L44540-2),LM2500,718,AMS 5662 ,6.00,76,3, 1 = 1,647,634
1647M68 (FWD LPT Case),CF6-80 ,718,B50TF15,10.00,284,1, 1 = 1,"6,370","6,243"
1647M68 (MID LPT Case),CF6-80 ,Wasp,AMS 5706,12.00,610,1, 1 = 1,"18,659","18,286"
1647M68 (AFT LPT Case),CF6-80 ,718,B50TF15,12.00,621,1, 1 = 1,"13,632","13,359"
1668M81 P02,F110/F118,718 T,C50TF104  , 8.00 ,116.7,2, 1 = 1,"1,467","1,438"
1686M87 P02 (1972D01),GE90 Base,6-4,AMS 4928, 10.00 ,274.3,2, 1 = 1,"6,792","6,656"
1687M64 P04 (1962M99 P01),GE90 BASE/115,4340 V,AMS 6414,6.00,100.8,1, 1 = 1,894,876
1688M87 P07 / P08,GE90 Base,2219,AMS 4144, 14.50 ,498.7,7, 1 = 1,452,443
17000 (L16710-2),LM2500,17-4,AMS 5643,6.00,47,1, 1 = 1,298,292
17100 (L16710-4),LM2500,17-4,AMS 5643,8.00,203,5, 1 = 1,238,233
1778M67 P05 (4013388-485),CF6-80C,718 T,C50TF103, 6.00 ,118.3,1, 1 = 1,"3,806","3,730"
17A101-203 P01,T58,600,AMS 5665, 4.00 ,15.7,3, 1 = 1,167,164
17A101-207 P01 / P02,T58,600,AMS 5665, 4.00 ,14.4,2, 1 = 1,197,193
17A101-661 P01,F404,H X,B50TF31, 6.00 ,85.1,1, 1 = 1 (4),"1,989","1,949"
17A127-913 P01 (9104M38 P02),T700,718,B50TF15, 6.00 ,49.1,1, 1 = 1,903,885
17A137-382 P02 (6026T65 P02),F404/LM6000,A286,AMS 5737, 4.00 ,27.4,1, 1 = 1,476,466
17A137-531 P01,F404,H X,AMS 5754, 6.00 ,114.1,2, 1 = 1,"1,374","1,347"
17A137-915 P01 ,CFM56,L605,AMS 5759, 6.00 ,73.9,1, 1 = 1 (9),"2,192","2,148"
17A148-570P01,TF34,625,AMS 5666, 6.00 ,71.4,2, 1 = 1,"1,602","1,570"
