Item #,LTA,Site,2011 Defla-tion,2012 Defla-tion,2013 Defla-tion,2014 Defla-tion,2015 Defla-tion,2016 Defla-tion,2017 Defla-tion,Alloy Family,Alloy,Spec,Billet Dia.,Engine Program,GE P/N,Forging P/N,FR Site P/N,Alternate P/N,Nomenclature,Machining Source #1,Machining Source #2,Machining Source #3,Singles per Sleeve,Segments per Single, 2011 Price per Part ,2012 Price per Part,2013 Price per Part,2014 Price per Part,2015 Price per Part,2016 Price per Part,2017 Price per Part,Comments
0,Base - 2,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,2219,AMS 4143,7.5,CF34,4128T13P01,4128T13,,,,Sun Country,,,,, $198 ,$196.95,$195.97,$192.05,$188.21,$184.44,$180.75,
1,Base - 1,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,R41,B50TF110,9.5,F110,10042170P02,10042170P02,,,,GE Aviation,,,,," $3,684 ","$3,555.06","$3,430.63","$3,362.02","$3,294.78","$3,228.88","$3,164.31",
4,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,6061,AMS 4127,14,CF6-80C,10042512P02,10042512P02,,,,UEC-TH,,,,," $1,269 ","$1,262.81","$1,256.49","$1,231.36","$1,206.73","$1,182.60","$1,158.95",
7,Base - 1,SFC,-4.00%,-4.00%,-4.00%,-2.00%,-2.00%,-2.00%,-2.00%,Ti,Ti 6-4,AMS 4928,8,F404,10043002 KIT,5104T28P13,,,,Paradigm-AZ,,,,," $5,097 ","$4,892.73","$4,697.02","$4,603.08","$4,511.02","$4,420.80","$4,332.38",COS is 1=88 sleeve
9,Base - 1,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718TM,C50TF104,8,F110/F118,1275M13P04,1275M13P04SC,,,,UEC-Asheville,Dover Tool,,,," $1,784 ","$1,721.53","$1,661.27","$1,628.05","$1,595.49","$1,563.58","$1,532.31",
13,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,2219,AMS 4143,6,CFM56,1277M91G03,1277M91P01,1277M91-P1G3,,,Barnes,UEC-WB,,8.25,, $310 ,$308.94,$304.00,$297.00,$292.00,$286.16,$280.44,Price adjustment for 2013 made 12/10; use same forging for all 1277M91 Group #'s; 1=4 sleeve sold as sleeve
14,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,2219,AMS 4143,6,CFM56,1277M91G04,1277M91P01,1277M91-P1G3,,,Barnes,UEC-WB,,8.25,, $307 ,$305.08,$303.56,$297.48,$291.54,$285.70,$279.99, use same forging for all 1277M91 Group #'s; 1=4 sleeve sold as sleeve
15,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,2219,AMS 4143,6,CFM56,1277M91G07,1277M91P01,1277M91-P1G3,,,UEC-WB,,,8.25,, $603 ,$599.99,$304.00,$297.00,$292.00,$286.16,$280.44,Price adjustment for 2013 made 12/10; use same forging for all 1277M91 Group #'s; 1=4 sleeve sold as sleeve
16,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,2219,AMS 4143,6,CFM56,1277M91G08,1277M91P01,1277M91-P1G3,,,UEC-WB,,,8.25,, $307 ,$305.08,$303.56,$297.48,$291.54,$285.70,$279.99, use same forging for all 1277M91 Group #'s; 1=4 sleeve sold as sleeve
23,Base - 1,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,B50TF15,10,F110/F118,1285M49G03,4013084-277P07,,,,UEC-Asheville,,,,," $4,500 ","$4,342.80","$4,190.80","$4,106.98","$4,024.84","$3,944.35","$3,865.46",
25,Base - 1,FRC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,B50TF15,8,CF6/LM6000,1288M41G05 / G06,1288M41G05 / G06 / G06SR,GE-1288M41G05/G06,,,UEC-Suzhou  ,,,,," $3,919 ","$3,782.09","$3,649.71","$3,576.72","$3,505.18","$3,435.08","$3,366.38",
27,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,17.4PH,AMS 5643,6,CF6,1292M43P04,1292M43P04-FRG,1201328,,,Jet Industries,Paradigm,,,, $410 ,$407.86,$405.82,$397.70,$389.75,$381.95,$374.31,
31,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,2618,AMS 4132,12,F110,1317M81G01,1317M81G01,,,,Sun Country,,,,, $328 ,$326.32,$324.69,$318.20,$311.83,$305.60,$299.48,
32,Base - 1,FRC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718TM,C50TF103,6,CFM56-5C/7,1319M17P02,4013522-267P02,,1319M17P02SR,,XAE,UEC-Suzhou,,,, $895 ,$863.59,$833.36,$816.70,$800.36,$784.36,$768.67,Same as Item 419; will use Item 32
45,Base - 1,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,B50TF15,12,CFM56,1358M15G06,4013287-625,,,,UEC-Asheville,,,,," $6,547 ","$6,317.48","$6,096.37","$5,974.45","$5,854.96","$5,737.86","$5,623.10",
50,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,17.4PH,AMS 5643,4,CFM56,1361M13P01,1648D01,880524007,,,Barnes,,,,, $107 ,$106.03,$105.50,$103.39,$101.32,$99.29,$97.31,
