ID ,Finished Part Number ,Forging Part Number ,Nomenclature ,Material  Name ,Material Spec/Class,EP,"Alternate Part L (+.010 Tol.) ","Alternate Part ID (-.005 Tol.) ",Alternate Part OD (+.005 Tol.) ,MACHINING SOURCE, LTA 2016 Price  ,Order Received From Machining Source (Y/N),Agreed Upon Shape (Y/N),Billet Commit Date,Supplier Commit ,First Shipment Quantity,Production Lead Time
21,2464M71G03,2464M71G03.002R,"CASE, HPT",718+,C50TF128 CL-A,LEAP A/C,COS,COS,COS,Paradigm Malden ,"$7,926",NO,in process,Stock,none,,12 weeks
58,2551M96G02,2564M04G01.002R,"CASE, HPC",I909,C50TF95 CL-B,LEAP A/C,,,,Samsung ,"$1,546",NO,NO,Stock,none,,12 weeks
64,2462M22P02,D2462M22P02,Inner Liner Aft Ring,HS188,B50TF74CLA,LEAP A/C,Terre Haute Print,Terre Haute Print,Terre Haute Print,Terre Haute ,"$1,116",YES,Yes,Stock,Per PO date,,12 weeks
80,2559M49P02,D2559M49P02,Inner Baffle Aft Ring,HS188,B50TF74CLA,Leap-1B,Terre Haute Print,Terre Haute Print,Terre Haute Print,Terre Haute ,$200,YES,Yes,Stock,Per PO date,,12 weeks
82,2611M12P01,D2611M12P01,Fwd Outer Support,I718+,B50TF317CLB,Leap-1B,Terre Haute Print,Terre Haute Print,Terre Haute Print,Terre Haute ,"$3,850",NO,Yes,Stock,Currently on HOLD per Customer,,12 weeks
100,2468M79G01,2468M79P02.000R,"CASE,WISHBONE",I718,B50TF15 CL-D,,2.17,20.34,25.02,Liming ,"$2,969",NO,Yes,Stock,none,,12 weeks
109,2541M81G01,2541M81G01.002R,HPT CASE,718Plus,C50TF128 CL-A,Leap-1B,,,,TEI ,"$8,657",NO,NO,Stock,none,,12 weeks
126,2482M11G01,4013522-470P04,"Flange, Aft TCF",I718,B50TF15 CL-D,Leap-AC,,,,Barnes   ,"$4,350",NO,NO,Stock,none,,14 weeks
142,2464M37P01,2464M37P01.000W,"C-CLIP, SHROUD HIGH PRESSURE TURBIN",R41,B50TF75 CL-D,LEAP A/C,4.408,22.618,23.534,Chaheng ,$395,Yes,Yes,Stock,Week 50,,12 weeks
156,2552M42G05,2552M42P05.002C,"CASE, EXTENSION COMPRESSOR STATOR -",I718,B50TF15 CL-E,Leap-1B,,,,Avitron (Singapore),"$4,713",NO,YES,Stock,none,,12 weeks
158,2552M51G06,4013726-338P02,"CASE, COMPRESSOR STATOR - AFT INNER",I718,B50TF15 CL-D,Leap-1B,2.22 Min,19.70 Max,24.45 Min,AIDC ,"$2,841",YES,Yes,Stock,Per PO date,,12 weeks
170,2521M04G04,2521M04P07.000C,TCF ,I718,C50TF37 CL-A,Leap-1B,GE drawing,GE drawing,GE drawing,Paradigm,"$14,000",NO,NO,Stock,none,,14 weeks
171,2521M04G04,2521M04P08.000R,TCF ,I718,C50TF37 CL-A,Leap-1B,GE drawing,GE drawing,GE drawing,Paradigm,"$8,700",NO,NO,Stock,none,,14 weeks
172,2542M54G01,2542M54P01.000R,Bearing Housing ,15-5PH,AMS 5659,Leap-1B,4.81,6.44,11.9,Xian ,"$1,060",NO,Yes,Stock,none,,10 weeks
