ID ,Finished Part Number ,Forging Part Number ,Nomenclature ,"Finished Part L (+.010 Tol.) ","Finished Part ID (-.005 Tol.) ",Finished Part OD (+.005 Tol.) ,Material  Name ,Material Spec/Class,GROSS WEIGHT,Share %,2016 QTY,2017 QTY,EP,VSE Initiated,VSE Phase ,"Alternate Part L (+.010 Tol.) ","Alternate Part ID (-.005 Tol.) ",Alternate Part OD (+.005 Tol.) ,Alternate Material Spec/Class,MACHINING SOURCE,Cut Weight (Lbs.) , LTA 2016 Price  , Alternate 2016 Price  ,Order Received From Machining Source (Y/N),Agreed Upon Shape (Y/N),Billet Commit Date,Supplier Commit ,First Shipment Quantity,Production Lead Time,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2463M40G01,2463M40P02.003R,"SHROUD, IGV",2.81,5.837,10.012,Al,AMS 4132,21.4,50,110,310,LEAP A/C,21006-VSE-15-02496,5,,,,,B&F,,$326,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2464M71G03,2464M71G03.002R,"CASE, HPT",7.135,24.177,27.003,718+,C50TF128 CL-A,334.8,45,110,310,LEAP A/C,21006-VSE-15-02497,4,,,,,Avitron ,,"$7,923",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2464M71G03,2464M71G03.002R,"CASE, HPT",7.135,24.177,27.003,718+,C50TF128 CL-A,334.8,30,110,310,LEAP A/C,21006-VSE-15-02497,4,,,,,Samsung  ,,"$7,923",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2500M47P01,2500M47P01.000R,OGV Diffuser,6.985,9.995,20.605,718+,B50TF317 CL-A,399,10,110,310,LEAP A/C,21006-VSE-15-02498,4,,,,,TECT SF,,"$9,894",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2521M40P02,2521M40P02.000R,"HANGER, FWD",1.937,22.172,25.895,R41,B50TF110 CL-D,261.5,50,40,205,Leap-1B,21006-VSE-15-02499,4,,,,,Numet ,,"$3,050",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2548M11G05,2548M11G05.002C,FINS,2.023,13.997,17.779,GTD222,B50TF279 CL-C,73.1,15,40,205,Leap-1B,21006-VSE-15-02500,3,2.117,13.913,17.876,,FAST,,"$1,740"," $3,093.00 ",Y,Y,,2/5/16,10,18 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2548M11G05,2548M11G05.002C,FINS,2.023,13.997,17.779,GTD222,B50TF279 CL-C,73.1,40,40,205,Leap-1B,21006-VSE-15-02500,3,2.117,13.913,17.876,,Paradigm Malden,,"$1,740"," $3,093.00 ",N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2548M11G05,2548M11G05.002C,FINS,2.023,13.997,17.779,GTD222,B50TF279 CL-C,73.1,25,40,205,Leap-1B,21006-VSE-15-02500,3,,,,,Xian ,,"$1,740",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2548M34P01,2548M34P01.000R,OGV DIFFUSER,7.117,9.425,20.425,718+,B50TF317 CL-A,398,10,40,205,LEAP-1B,21006-VSE-15-02501,3,,,,,Chaheng ,,"$9,894",,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2551M95G01,2551M95G01.002R,"CASE, AFT INNER, STG 5",1.1448,17.4673,19.113,I909,C50TF95 CL-B,67.3,25,40,205,Leap-1B,21006-VSE-15-02503,5,,,,,PCC WB ,,$906,,Y,Y,11/15/15,2/5/16,20 pcs,20 weeks,order entered 9/21/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
