Engine Program,Sub Commodity Ldr,Production or Development,Any commitment for Production made?,Forging Part Number,Forging Supplier,Nomenclature,First due date,Alloy,Size,Weight,QTY,Billet Price,Price,Target Price,Target Weight,Target Billet Price,PO,Quoting Suppliers (Forging),Forging Price Analysis,Comments,Date,Finished P/N,Machine Shop,Engineer,On Score Card,Engine Module,
Leap-1A/-1C,Bezerra,Development,No,2468M24P01,WGW,HPC S10 Disk,delivered,R88,"12 ",710,24,$44.21,"$45,368",,,,9SA31276,"WGW, Ladish",lowest bidder,Primary design was R65 but changed to R88 on 10/20/11 when GE agreed to Airbus's request to increase thrust.,,,West Jeff.,Dave Goshorn,No,HPC,
Leap-1A/-1C,Bezerra,Development,No,2466M65P01,WGW,HPT S1 Disk,06/01/12,R88,"12 ",1293,23,$43.93,"$80,298",,,,90A31253,"WGW, Ladish",lowest bidder,,,2466M62G01,West Jeff.,Mark Johnson,Yes,HPT,
Leap-1A/-1C,Bezerra,Development,No,2461M39P01,Ladish,Fwd Outer Seal,10/04/12,R88,"9 ",233,25,$43.68,"$24,988",,,,90A31270,"WGW, Ladish",within 25% of Wyman's quote (Wyman was the lowest bidder but was not awarded because Wyman already had many new parts to work on ,deal with Ladish to make more GEnx and GP parts,,2461M38P01,TBD,Hahn Spofford,Yes,HPT,
Leap-1A/-1C,Bezerra,Development,No,2466M67P01,WGW,HPT S1 Blade Retainer,09/17/12,R88,NA,0,20,NA,"$3,596",,,,90A31272,"WGW, Ladish",lowest bidder,,,2466M66P01,TBD,Ryan Klasmeier,Yes,HPT,
Leap-1B,Bezerra,Development,No,2468M24P02,WGW,HPC S10 Disk,,R88,"12 ",671,,$43.79,"$43,362",,,,,,,,,,,,,,
Leap-1B,Bezerra,Development,No,2466M65P02,WGW,HPT S1 Disk,,R88,"12 ",1309,,$43.79,"$78,374",,,,,,,,,,,,,,
Leap-1B,Bezerra,Development,No,2461M39P02,Ladish,Fwd Outer Seal,,R88,9,214,,$43.47,"$24,195",,,,,,,,,,,,,,
Leap-1B,Bezerra,Development,No,2466M67P02,WGW,HPT S1 Blade Retainer,,R88,NA,0,,NA,"$3,596",,,,,,,,,,,,,,
Passport 20,Bezerra,Development,No,2483M70P01,WGW,HPC S10 Disk,12/09/11,R88,"9 ",500,24,$43.90,"$37,277",,,,90A31252,"WGW, Ladish",lowest bidder,,,,West Jeff.,Raul Fernandez,-,HPC,
Passport 20,Bezerra,Development,No,2471M12P01,WGW,HPT S1 Disk,02/21/12,R88,"9 ",403,19,$43.90,"$26,926",,,,9SA31273,"WGW, Ladish",lowest bidder,,,2471M11P01,TBD,Tom Dole,-,HPT,
Passport 20,Bezerra,Development,No,2471M38P01,WGW,HPT S1 Forward Shaft,04/15/12,R88,"9 ",323,18,$43.90,"$21,814",,,,9SA31274,"WGW, Ladish",lowest bidder,,,2471M37P01,TBD,Tom Dole,-,HPT,
Passport 20,Bezerra,Development,No,2471M09P01,WGW,Forward Outer Seal,04/15/12,R88,"9 ",265,18,$43.90,"$19,796",,,,9SA31275,"WGW, Ladish",lowest bidder,,,2471M08P01,TBD,Kevin Norcott,-,HPT,
Passport 20,Bezerra,Development,No,2471M15P01,WGW,HPT S1 Blade Retainer,04/15/12,R88,"12 ",0,13,NA,"$3,596",,,,90A31215,"WGW, Ladish",lowest bidder,,,2471M41P01,TBD,Tim Story,-,HPT,
Leap,Bierman,Development,No,4013726-900P01,Carlton Forge,Outer Liner AFT End,delivered,HS188,,98,10,$25.00,"$4,290",,,,1XA31402,"Carlton, Firh",lowest bidder,,3/22/11,Yes,UEC - TH,Dan Kirtley,Yes,CDN,
Leap,Bierman,Development,No,4013726-902P01,Carlton Forge,Outer Baffle AFT End,delivered,HASTX,,56,8,$16.10,"$2,086",,,,1XA31402,"Carlton, Firh",lowest bidder,,3/22/11,Yes,UEC - TH,Dan Kirtley,Yes,CDN,
Leap,Bierman,Development,No,4013726-903P01,Carlton Forge,Outer Baffle FWD End,delivered,HASTX,,29.3,8,$16.10,"$1,335",,,,1XA31402,"Carlton, Firh",lowest bidder,,3/22/11,Yes,UEC - TH,Dan Kirtley,Yes,CDN,
Leap,Bierman,Development,No,4013726-906P01,Carlton Forge,Inner Baffle AFT End,delivered,HASTX,,22,8,$16.10,"$1,019",,,,1XA31402,"Carlton, Firh",lowest bidder,,3/22/11,Yes,UEC - TH,Dan Kirtley,Yes,CDN,
Leap,Bierman,Development,No,4013726-907P01,Carlton Forge,Inner Baffle FWD End,delivered,HASTX,,16.3,8,$16.10,$862,,,,1XA31402,"Carlton, Firh",lowest bidder,,3/22/11,Yes,UEC - TH,Dan Kirtley,Yes,CDN,
Leap,Bierman,Development,No,4013726-908P01,Carlton Forge,Dome Plate,delivered,HS188,,327.3,8,$24.50,"$13,048",,,,1XA31402,"Carlton, Firh",lowest bidder,,3/22/11,Yes,UEC - TH,Dan Kirtley,Yes,CDN,
Leap,Bierman,Development,No,4013726-909P01,Carlton Forge,Cowl Support Outer,delivered,HS188,,234,2,$25.00,"$9,830",,,,1XA31402,"Carlton, Firh",lowest bidder,,3/22/11,Yes,UEC - TH,Dan Kirtley,Yes,CDN,
Leap,Bierman,Development,No,4013726-910P01,Carlton Forge,Cowl Support Inner,delivered,HS188,,212,2,$25.00,"$8,740",,,,1XA31402,"Carlton, Firh",lowest bidder,,3/22/11,Yes,UEC - TH,Dan Kirtley,Yes,CDN,
Leap,Bierman,Development,No,4013726-911P01,Carlton Forge,Cowl  Inner,delivered,HS188,,87,3,$25.00,"$3,947",,,,1XA31402,"Carlton, Firh",lowest bidder,,3/22/11,Yes,UEC - TH,Dan Kirtley,Yes,CDN,
Leap,Bierman,Development,No,2468M30P01,Carlton Forge,Stg. 3-4 AFT Spacer Arm,2/27/12,6-2-4-2,,33,35,$35.00,"$2,134","$1,434",19#,$28,90A31421,"Carlton, Firh",lowest bidder,Life Controlled/RP,7/25/11,,GE West Jefferson,Eric Lavender,No,HPC,
Leap,Bierman,Development,No,2468M26P01,Schlosser Forge,Stg. 1 Aft Arm,2/6/12,Ti 6-4 P,"6 ",41.6,49,$20.70,"$1,252","$1,327",24#,$19,90A31423,"Firth, Carlton",lowest bidder,18 pcs. added 4/20/12 for Leap-1B,9/26/11,,GE West Jefferson,Tony Maurer,No,HPC,
Leap,Bierman,Development,No,4013725-401P01,Schlosser Forge,Combuster Case,4/4/12,P718+,"12 ","1,639",3,$17.12,"$36,972","$11,658",-,-,90A31437-001,"Firth, Carlton",lowest bidder,,10/13/11,2500M47P01,GE-Suzhou,Kim Barberini,Yes,CDN,
Leap,Bierman,Development,No,4013725-402P01,Schlosser Forge,OGV,4/4/12,718+,"12 ","1,106",9,$17.12,"$23,450","$9,100",-,-,90A31437-002,"Firth, Carlton",lowest bidder,VSE full approved 4/24,10/13/11,2500M47P01,GKN,Kim Barberini,Yes,CDN,
Leap,Bierman,Development,No,SOW,Carlton Forge,TCF - forward,TBD,I718,,77,30,$15.80,"$2,280",,,,TBD,"Carlton, Firh",lowest bidder,Hold for design change,TBD,,D.E. Hold,CJ Pegan,N/A,TCF,
Leap,Bierman,Development,No,SOW,Carlton Forge,TCF - Aft,TBD,I718,,492,30,$15.70,"$11,485",,,,TBD,"Carlton, Firh",lowest bidder,Hold for design change,TBD,,D.E. Hold,CJ Pegan,N/A,TCF,
Leap,Bierman,Development,No,2517M01P01,Carlton Forge,HPT Case,06/25/12,PI178+,"12 ",560,20,$16.00,"$11,470",,,,90Q15411,"Frisa, Firth, Carlton",lowest bidder,,2/8/13,2464M71G01,"Paradigm, Malden",Robert Dyson,Yes,HPT,
Leap,Bierman,Development,No,4013726-336P01,Frisa,HPC Aft Extension Case,5/14/12,I718,"12 ",430,28,$13.79 ,"$8,200 ",,,,90Q15404,"Frisa, Firth, Carlton",lowest bidder,VSE approved 8/23/12,1/24/12,2468M78G01,FAST-China,Tom Doerflein,Yes,HPC,
Leap,Bierman,Development,No,4013726-337P01,Frisa,HPC Aft Inner Case,5/14/12,I718,"10 ",249,28,$13.85 ,"$4,960.00 ",,,,90Q15404,"Frisa, Firth, Carlton",lowest bidder,Term�replaced by P02 @ Carlton,1/24/12,2468M79G01,TBD,Tom Doerflein,Yes,HPC,Was 2484M80G01
Leap,Bierman,Development,No,4013726-338P01,Frisa,HPC Aft Outer Case,5/14/12,I718,"12 ",224,28,$13.79 ,"$4,250.00 ",,,,90Q15404,"Frisa, Firth, Carlton",lowest bidder,VSE approved 7/21/12,1/24/12,2468M79G01,FAST-China,Tom Doerflein,Yes,HPC,Was 2484M80G01
Leap,Bierman,Development,No,4013726-330P02,Carlton Forge,HPC Stg. 5 Forging,7/16/12,M152,"8 ",55,28,$3.00 ,$688.00 ,,,,90Q15427,"Frisa, Firth, Carlton",lowest bidder,,4/9/12,2468M80G01,UEC-WB/China,Tom Doerflein,Yes,HPC,
Leap,Bierman,Development,No,4013726-331P02,Schlosser Forge,HPC Stg. 5-6 Forging,7/16/12,M152,"8 ",95,28,$3.45 ,$954.00 ,,,,90Q15428,"Frisa, Firth, Carlton",lowest bidder,,4/9/12,2468M81G01,UEC-WB/China,Tom Doerflein,Yes,HPC,
Leap,Bierman,Development,No,4013726-332P01,Schlosser Forge,HPC Stg. 6-7 Forging,7/16/12,I718,"8 ",117,28,$12.79 ,"$2,207.00 ",,,,90Q15429,"Frisa, Firth, Carlton",lowest bidder,,4/5/12,2468M82G01,UEC-WB/China,Tom Doerflein,Yes,HPC,
Leap,Bierman,Development,No,4013726-333P01,Schlosser Forge,HPC Stg. 7 Forging,7/16/12,I718,"8 ",142,28,$12.79 ,"$2,525.00 ",,,,90Q15430,"Frisa, Firth, Carlton",lowest bidder,,4/6/12,2468M83G01AA,UEC-WB/China,Tom Doerflein,Yes,HPC, Was 2484M81G01
Leap,Bierman,Development,No,4013726-334P01,Carlton Forge,HPC Stg. 8 Forging,7/16/12,I718,"8 ",57,28,$15.30 ,"$1,403.00 ",,,,90Q15431,"Frisa, Firth, Carlton",lowest bidder,,4/6/12,2468M84G01AA,UEC-WB/China,Tom Doerflein,Yes,HPC,
Leap,Bierman,Development,No,4013726-335P01,Schlosser Forge,HPC Stg. 8-9 Forging,7/16/12,I718,"8 ",99,28,$12.79 ,"$1,916.00 ",,,,90Q15432,"Frisa, Firth, Carlton",lowest bidder,,4/6/12,2468M85G01AA,UEC-WB/China,Tom Doerflein,Yes,HPC,
Leap,Bierman,Development,No,4013733-723P02,Carlton Forge,"Support, Outer",5/7/12,I718+,"12 ",290,7,$15.00,"$7,135.00 ",,,,90Q15417,"Firth, Carlton",lowest bidder,,2/20/12,,UEC-TH,Eric Roberson,No,CDN,
Leap,Bierman,Development,No,4013733-725P02,Carlton Forge,Inner Cowl,5/7/12,I718+,"10 ",228,7,$15.00,"$6,110.00 ",,,,90Q15417,"Firth, Carlton",lowest bidder,,2/20/12,,UEC-TH,Eric Roberson,No,CDN,
