Engine Program,Sub Commodity Ldr,Production or Development,Any commitment for Production made?,Forging Part Number,Forging Supplier,Nomenclature,Alloy,Size,Weight,QTY,Billet Price,Price,$/Forging,Target Price,Target Weight,Target Billet Price,1=,Weight Savings,Finished P/N
Leap-1A/-1C,Bezerra,Development,No,2468M24P01,WGW,HPC S10 Disk,R88,"10",710,24,$44.21,"$45,368",#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,0
Leap-1A/-1C,Bezerra,Development,No,2466M65P01,WGW,HPT S1 Disk,R88,"10",1293,23,$43.93,"$80,298",#REF!,#REF!,,,,#DIV/0!,2466M62G01
Leap-1A/-1C,Bezerra,Development,No,2461M39P01,Ladish,Fwd Outer Seal,R88,"10",233,25,$43.68,"$24,988",#REF!,#REF!,,,,#DIV/0!,2461M38P01
Leap-1A/-1C,Bezerra,Development,No,2466M67P01,WGW,HPT S1 Blade Retainer,R88,"10",0,20,NA,"$3,596",#REF!,#REF!,,,,#DIV/0!,2466M66P01
Passport 20,Bezerra,Development,No,2483M70P01,WGW,HPC S10 Disk,R88,"10",500,24,$43.90,"$37,277",#REF!,#REF!,,,,#DIV/0!,0
Passport 20,Bezerra,Development,No,2471M12P01,WGW,HPT S1 Disk,R88,"10",403,19,$43.90,"$26,926",#REF!,#REF!,,,,#DIV/0!,2471M11P01
Passport 20,Bezerra,Development,No,2471M38P01,WGW,HPT S1 Forward Shaft,R88,"10",323,18,$43.90,"$21,814",#REF!,#REF!,,,,#DIV/0!,2471M37P01
Passport 20,Bezerra,Development,No,2471M09P01,WGW,Forward Outer Seal,R88,"10",265,18,$43.90,"$19,796",#REF!,#REF!,,,,#DIV/0!,2471M08P01
Passport 20,Bezerra,Development,No,2471M15P01,WGW,HPT S1 Blade Retainer,R88,"10",0,13,NA,"$3,596",#REF!,#REF!,,,,#DIV/0!,2471M41P01
Leap,Bierman,Development,No,4013726-900P01,Carlton Forge,Outer Liner AFT End,HS188,"10",98,10,$25.00,"$4,290",,"$1,485",33,$25.00,1,65,Yes
Leap,Bierman,Development,No,4013726-902P01,Carlton Forge,Outer Baffle AFT End,HASTX,"10",56,8,$16.10,"$2,086",,$699,22,$16.10,1,34,Yes
Leap,Bierman,Development,No,4013726-903P01,Carlton Forge,Outer Baffle FWD End,HASTX,"10",29.3,8,$16.10,"$1,335",,$632,20,$16.10,1,9.3,Yes
Leap,Bierman,Development,No,4013726-906P01,Carlton Forge,Inner Baffle AFT End,HASTX,"10",22,8,$16.10,"$1,019",,$570,15,$16.10,1,7,Yes
Leap,Bierman,Development,No,4013726-907P01,Carlton Forge,Inner Baffle FWD End,HASTX,"10",16.3,8,$16.10,$862,,$482,11,$16.10,1,5.3,Yes
Leap,Bierman,Development,No,4013726-908P01,Carlton Forge,Dome Plate,HS188,"10",327.3,8,$24.50,"$13,048",,"$7,114",182,$25.00,1,145.3,Yes
Leap,Bierman,Development,No,4013726-909P01,Carlton Forge,Cowl Support Outer,HS188,"10",234,2,$25.00,"$9,830",,"$6,211",145,$25.00,1,89,Yes
Leap,Bierman,Development,No,4013726-910P01,Carlton Forge,Cowl Support Inner,HS188,"10",212,2,$25.00,"$8,740",,"$5,585",114,$25.00,1,98,Yes
Leap,Bierman,Development,No,4013726-911P01,Carlton Forge,Cowl  Inner,HS188,"10",87,3,$25.00,"$3,947",,"$3,478",78,$25.00,1,9,Yes
Leap,Bierman,Development,No,2468M30P01,Carlton Forge,Stg. 3-4 AFT Spacer Arm,6-2-4-2,"10",33,35,$35.00,"$2,134",,"$2,096",23,$35.00,1,10,0
Leap,Bierman,Development,No,2468M26P01,Schlosser Forge,Stg. 1 Aft Arm,Ti 6-4 P,"10",41.6,49,$20.70,"$1,252","$1,192",$596,30.6,$20.70,2,26.3,0
Leap,Bierman,Development,No,4013725-401P01,Schlosser Forge,Combuster Case,I718+,"10",1639,3,$17.12,"$36,972","$15,734","$15,734",519,$17.12,1,1120,2500M47P01
Leap,Bierman,Development,No,4013725-402P01,Schlosser Forge,OGV,I718+,"10",1106,9,$17.12,"$23,450","$9,983","$9,983",260,$17.12,1,846,2500M47P01
Leap,Bierman,Development,No,SOW,Carlton Forge,TCF - forward,I718,"10",77,30,$15.80,"$2,280",Canceled,,,,,#DIV/0!,0
Leap,Bierman,Development,No,SOW,Carlton Forge,TCF - Aft,I718,"10",492,30,$15.70,"$11,485",Canceled,,,,,#DIV/0!,0
Leap,Bierman,Development,No,2517M01P01,Carlton Forge,HPT Case,PI178+,"10",560,20,$16.00,"$11,470",,"$10,837",349,$16.00,1,211,2464M71G01
Leap,Bierman,Development,No,4013726-336P01,Frisa,HPC Aft Extension Case,I718,"10",430,28,$13.79,"$8,200","$5,265","$5,265",253,$13.39,1,177,2468M78G01
Leap,Bierman,Development,No,4013726-337P01,Frisa,HPC Aft Inner Case,I718,"10",249,28,$13.85,"$4,960","$5,486","$2,743",246,$13.39,2,126,2468M79G01
Leap,Bierman,Development,No,4013726-338P01,Frisa,HPC Aft Outer Case,I718,"10",224,28,$13.79,"$4,250","$5,154","$1,031",252,$13.79,5,173.6,2468M79G01
Leap,Bierman,Development,No,4013726-330P02,Carlton Forge,HPC Stg. 5 Forging,M152,"10",55,28,$3.00,$688,$537,$269,49,$3.00,2,30.5,2468M80G01
Leap,Bierman,Development,No,4013726-331P02,Schlosser Forge,HPC Stg. 5-6 Forging,M152,"10",95,28,$3.45,$954,"$1,129",$565,100,$3.45,2,45,2468M81G01
Leap,Bierman,Development,No,4013726-332P01,Schlosser Forge,HPC Stg. 6-7 Forging,I718,"10",117,28,$12.79,"$2,207","$2,402","$1,201",110,$12.79,2,62,2468M82G01
Leap,Bierman,Development,No,4013726-333P01,Schlosser Forge,HPC Stg. 7 Forging,I718,"10",142,28,$12.79,"$2,525","$3,868","$1,934",171,$13.85,2,56.5,2468M83G01AA
Leap,Bierman,Development,No,4013726-334P01,Carlton Forge,HPC Stg. 8 Forging,I718,"10",57,28,$15.30,"$1,403","$3,776",$944,143,$13.85,4,21.25,2468M84G01AA
Leap,Bierman,Development,No,4013726-335P01,Schlosser Forge,HPC Stg. 8-9 Forging,I718,"10",99,28,$12.79,"$1,916","$3,440","$1,720",140,$13.85,2,29,2468M85G01AA
Leap,Bierman,Development,No,4013733-723P02,Carlton Forge,"Support, Outer",I718+,"10",290,7,$15.00,"$7,135",,"$3,612",124,$15.00,1,166,
Leap,Bierman,Development,No,4013733-725P02,Carlton Forge,Inner Cowl,I718+,"10",228,7,$15.00,"$6,110",,"$3,114",104,$15.00,1,124,0
Leap,Bierman,Development,No,4013726-911P02,Carlton Forge,Inner Flange,I718+,"10",90,7,$15.00,"$2,315",,"$2,202",68,$15.00,1,22,0
