Finished Part Number ,Forging Part Number ,Nomenclature ,Current Supplier ,Current Price ,Winning Supplier ,Supplier Win % ,Proposed percentages,2016 Price ,2017 Price ,Machining Supplier ,Machine Supplier % ,Change
2463M41P02,2463M41P02.000R,"SHRD,CMPRSTR-S1",Carlton Forge,$242.25 ,GATD,70,0,$50 ,$48 ,PCC WB ,50%,50% GATD 
2463M41P03,2463M41P03.000R,"SHRD,CMPRSTR-S1",Carlton Forge,$242.25 ,Alcoa Fontana,30,100,$118 ,$112 ,B&F ,50%,50% Alcoa 
2463M41P03,2463M41P03.000R,"SHRD,CMPRSTR-S1",Carlton Forge,$242.25 ,GATD,70,0,$50 ,$48 ,PCC WB ,50%,50% GATD 
2463M41P04,2463M41P04.000R,"SHRD,CMPRSTR-S1",Carlton Forge,$242.25 ,Alcoa Fontana,30,100,$118 ,$112 ,B&F ,50%,50% Alcoa 
2463M41P04,2463M41P04.000R,"SHRD,CMPRSTR-S1",Carlton Forge,$242.25 ,GATD,70,0,$50 ,$48 ,PCC WB ,50%,50% GATD 
2463M42P05,2463M42P05.000R,"SHRD,CMSTR-S2",Carlton Forge,$295.00 ,Alcoa Fontana,30,100,$111 ,$105 ,B&F ,50%,50% Alcoa 
2463M42P05,2463M42P05.000R,"SHRD,CMSTR-S2",Carlton Forge,$295.00 ,GATD,70,0,$50 ,$48 ,PCC WB ,50%,50% GATD 
2463M42P06,2463M42P06.000R,"SHRD,CMSTR-S2",Carlton Forge,$295.00 ,Alcoa Fontana,30,100,$111 ,$105 ,B&F ,50%,50% Alcoa 
2463M42P06,2463M42P06.000R,"SHRD,CMSTR-S2",Carlton Forge,$295.00 ,GATD,70,0,$50 ,$48 ,PCC WB ,50%,50% GATD 
2463M42P07,2463M42P07.000R,"SHRD,CMSTR-S2",Carlton Forge,$295.00 ,Alcoa Fontana,30,100,$111 ,$105 ,B&F ,50%,50% Alcoa 
2463M42P07,2463M42P07.000R,"SHRD,CMSTR-S2",Carlton Forge,$295.00 ,GATD,70,0,$50 ,$48 ,PCC WB ,50%,50% GATD 
2463M42P08,2463M42P08.000R,"SHRD,CMSTR-S2",Carlton Forge,$295.00 ,Alcoa Fontana,30,100,$111 ,$105 ,B&F ,50%,50% Alcoa 
2463M42P08,2463M42P08.000R,"SHRD,CMSTR-S2",Carlton Forge,$295.00 ,GATD,70,0,$50 ,$48 ,PCC WB ,50%,50% GATD 
