Part Number,Nomenclature,Qty/Parent,Parent PN,Qty/Grand_Parent,Parent Nomen,QPE
2301M66P02,"SEAL,ROTATING",1,2305M20G01,1,PROP ASSY,1
2301M66P02,"SEAL,ROTATING",1,2376M20G01,1,PROP ASSY,1
2301M66P02,"SEAL,ROTATING",1,2376M20G02,1,PROP ASSY,1
2301M66P02,"SEAL,ROTATING",1,2376M20G03,1,PROP ASSY,1
2301M66P02,"SEAL,ROTATING",1,2376M20G04,1,PROP ASSY,1
2301M66P02,"SEAL,ROTATING",1,2376M20G05,1,PROP ASSY,1
2301M66P02,"SEAL,ROTATING",1,2376M20G06,1,PROP ASSY,1
2301M66P02,"SEAL,ROTATING",1,2376M20G07,1,PROP ASSY,1
2301M66P02,"SEAL,ROTATING",1,2376M20G09,1,PROP ASSY,1
2301M66P02,"SEAL,ROTATING",1,2447M20G01,1,TF PROP ASSY,1
2301M66P02,"SEAL,ROTATING",1,2447M20G02,1,TF PROP ASSY,1
2301M66P02,"SEAL,ROTATING",1,2447M20G03,1,TF PROP ASSY,1
2301M66P02,"SEAL,ROTATING",1,2447M20G04,1,TF PROP ASSY,1
2610M42P01,"COVER, BOLT",6,2202M54G02,1,COMB ASSY,6
5104T75P01,"CLIP,RTNG-SHRD",38,5115T59G01,1,SUPPORT ASSEMBL,38
3074T11P02,RETAINER,1,5115T60G04,1,SUPPORT ASSEMBL,1
3074T11P02,RETAINER,1,5115T60G05,1,SUPPORT ASSEMBL,1
3074T11P01,RETAINER,29,5115T60G04,1,SUPPORT ASSEMBL,29
3074T11P01,RETAINER,29,5115T60G05,1,SUPPORT ASSEMBL,29
5104T80P01,"CLIP,RTNG-TURB",19,5101T45G01,1,CASE ASSY-LPT,19
1441M35P01,"CLIP,RET-NOZZ",22,737L747G01,1,"LPT NOZZLE, S1",22
1441M35P01,"CLIP,RET-NOZZ",22,9547M20G01,1,"NOZ ASSY,LPTURB",22
1441M35P01,"CLIP,RET-NOZZ",22,9547M20G02,1,"NOZ ASSY,LPTURB",22
1441M35P01,"CLIP,RET-NOZZ",22,9547M20G03,1,"NOZ ASSY,LPTURB",22
1441M35P01,"CLIP,RET-NOZZ",22,9547M20G04,1,"NOZ ASSY,LPTURB",22
1441M35P01,"CLIP,RET-NOZZ",22,9547M20G05,1,NOZZLE ASSY,22
1441M35P01,"CLIP,RET-NOZZ",22,9547M20G06,1,NOZZLE ASSY,22
1441M35P01,"CLIP,RET-NOZZ",22,9549M20G01,1,"NOZ ASSY, LPT",22
1441M35P01,"CLIP,RET-NOZZ",22,9549M20G02,1,"NOZ ASSY, LPT",22
1441M35P01,"CLIP,RET-NOZZ",22,9549M20G03,1,"NOZ ASSY, LPT",22
5106T65P01,"RETAINER,NOZZLE",19,17A207-003G01,1,LP TURBINE MODU,19
5106T65P01,"RETAINER,NOZZLE",19,5100T25G01,1,LP TURBINE MODU,19
5106T65P01,"RETAINER,NOZZLE",19,5100T25G02,1,LP TURBINE MODU,19
5106T65P01,"RETAINER,NOZZLE",19,5100T25G03,1,LP TURBINE MODU,19
5106T65P01,"RETAINER,NOZZLE",19,5100T25G04,1,LP TURBINE MODU,19
5106T65P01,"RETAINER,NOZZLE",19,5100T25G05,1,LP TURBINE MODU,19
5106T65P01,"RETAINER,NOZZLE",19,5115T71G01,1,LPT MODULE,19
5106T65P01,"RETAINER,NOZZLE",19,5161T98G01,1,MODULE,19
5106T65P01,"RETAINER,NOZZLE",19,5173T25G01,1,MODULE,19
