Buyer,Part Number,Nomenclature ,QPA,GE NEG,Finished Part Supplier ,Engine Program,2015 QTY,Raw Material P/N,RM-Type,R/M Supplier,Plant,Yield , R/M Unit Price 2014 , R/M Unit Price 2015 ,Comments
,1843M81G01,,1,Yes,89382-TEI,CF6,,T100007-01,Forging_Ring_R,PCC,PCC,1.00,"$9,350.18 ","$9,163.18 ",
,2050M34G05,,1,Yes,89382-TEI,#N/A,,2032M20P02,Forging_Ring_R,PCC,PCC,1.00,"$1,499.40 ","$1,469.41 ",
,2300M85P02,,1,Yes,89382-TEI,GenX,,2410M33P01,Forging_Ring_R,PCC,PCC,1.00,"$2,644.04 ","$2,591.16 ",
,2370M25P01,,1,Yes,89382-TEI,GenX,,4013510-100P01,Forging_Ring_R,PCC,PCC,1.00,"$8,002.68 ","$7,842.63 ",
,2383M99P02,,1,Yes,89382-TEI,GenX,,2383M56P02,Forging_Ring_R,PCC,PCC,1.00,"$7,228.00 ","$7,083.44 ",
,2403M08P01,,1,Yes,89382-TEI,GenX,,2410M33P01,Forging_Ring_R,PCC,PCC,1.00,"$2,644.04 ","$2,591.16 ",
,2446M85G01,,1,Yes,89382-TEI,#N/A,,4013536-288P01,Forging_Ring_R,PCC,PCC,1.00,"$5,607.56 ","$5,495.41 ",file not calculating  change to G02
,2479M10G01,,1,Yes,89382-TEI,CF34,,2032M20P02,Forging_Ring_R,PCC,PCC,1.00,"$1,499.40 ","$1,469.41 ",
,2498m20p01,,0.5,Yes,89382-TEI,#N/A,,2514M89P01,Forging_Ring_R,PCC,PCC,0.50,"$2,582.30 ","$2,530.65 ",change to 2601m35g01
,2498M26P01,,0.5,Yes,89382-TEI,PASSPORT 20,,2514M87P01,Forging_Ring_R,PCC,PCC,0.50,"$2,043.30 ","$2,002.43 ",
,2498M27P01,,0.5,Yes,89382-TEI,PASSPORT 20,,2514M88P01,Forging_Ring_R,PCC,PCC,0.50,"$2,043.30 ","$2,002.43 ",
,4014M13G01,,0.179,Yes,89382-TEI,CF6/LM2500,,9051M01X902,Forging_Ring_R,PCC,PCC,,$514.30 ,$504.02 ,delete
,4014M14G01,,0.208,Yes,89382-TEI,CF6/LM2500,,9051M01X902,Forging_Ring_R,PCC,PCC,,$514.30 ,$504.02 ,delete
