SUPPLIER,GE PART NUMBER,FORGE PART NUMBER,Machining Source,Machining Source,Engine ,WEIGHT,WRP,ALLOY,Mat''l Spec.,2011 $ per part,2012 raw mat'l,2012 Bar cost,2012,2012 $ per part,2013 $ per part,2014 $ per part
SUPPLIER,GE PART NUMBER,FORGE PART NUMBER,Machining Source,Machining Source,Engine ,WEIGHT,WRP,ALLOY,Mat''l Spec.,2011 $ per part,2012 raw mat'l,2012 Bar cost,2012,2012 $ per part,2013 $ per part,2014 $ per part
Welded Ring,1316M38G01,1316M38G01SC,SAC-Asheville,APPI,CFM56,35.18,95031,WASP,AMS 5707,"$1,477.43", $31.48 ,"$1,107.47",$474.80,"$1,582.27","$1,566.00","$1,566.00"
Welded Ring,1327M72G02,1327M72G02,Jet Industries,,CF6,9.76,40395,INC 718,B50TF15 CL-A,$320.48, $21.93 ,$214.04,$125.28,$339.32,$339.00,$339.00
Welded Ring,1358M80P01,1358M80P04,Sun Country,,CFM56,16.54,40233,INC 718,B50TF15 CL-C,$493.30, $22.43 ,$370.99,$154.23,$525.22,$545.00,$545.00
Welded Ring,1364M83 G01,1364M83 P02,Columbia,,F-110,25.98,30249,HAST X,AMS 5754,$806.05, $20.50 ,$532.59,$273.46,$806.05,$775.00,$775.00
Welded Ring,1386M85P01,,Smiths W-B,,CFM56-2/3,16.77,40100,INC 718,B50TF15 CL-A,$614.54, $19.25 ,$322.82,$291.72,$614.54,$600.00,$600.00
Welded Ring,1387M67 G02,4922-01,Ferrotherm,Twigg,F110,7.82,40374,INC 718,B50TF15 CL-A,$263.33, $21.96 ,$171.73,$106.70,$278.43,$278.00,$278.00
Welded Ring,1441M36,17A146-843 P01,Ferrotherm,,F110,32.98,24236,RENE 41,B50TF75 CL-C,"$1,602.93", $37.33 ,"$1,231.14",$371.79,"$1,602.93","$1,602.00","$1,602.00"
Welded Ring,1441M41P01,TF1358M31P01,Numet,,F110,31.41,95042,WASP,AMS 5707,"$1,316.88", $27.00 ,$848.07,$468.81,"$1,316.88","$1,285.00","$1,285.00"
Welded Ring,1441M66P03,,Demusz,,F110,30.61,40379,INC 718,B50TF15 CL-A,"$1,006.53", $20.50 ,$627.51,$424.94,"$1,052.45","$1,052.00","$1,052.00"
