Supplier ,Forging Number ,Nomenclature,EP ,M/C/J,Note,Export ,Parts list ,2017,2018,2019,2020,2021,2022,Total 
77623,10042170P02,FORGING,F110-GE-JDA,Military ,,UNK,A,0,20,20,20,5,5,74
93689,1459M49P01,FLANGE,"CF6 CF6-80A CF6-80C2",Commercial ,,NLR,A/B/C,22,18,18,18,18,18,118
07312,17A127-584P01,AFT FLANGE FORG,T700,Military ,,LRC,A,0,5,5,5,5,5,26
21006,17A137-531P01,RING FORGING,F404 ,Military ,,UNK,A,0,9,5,5,5,5,30
93689,17A137-588P01,RING ,F404 ,Military ,,UNK,A/B,5,9,5,5,5,5,36
38195,17A148-346P01,INNER SHELL,T700,Military ,,NLR,A,0,701,653,579,535,535,3153
50620,17A164-009P01,RING,T700,Military ,,UNK,A/B,692,701,653,579,535,535,3880
07312,17A164-010P01,RING,T700,Military ,,NLR,A,0,701,653,579,535,535,3153
50620,17A164-020P03,OUTER SHELL,T700,Military ,,UNK,A/B,285,293,271,224,200,200,1547
38195,17A166-344P03,A/O SEPARATOR FORGING (F414),F404/F414,Military ,,UNK,A,0,65,80,59,45,45,309
21006,17A166-345P02,FORGING,F414,Military ,,UNK,A,0,54,75,54,40,40,276
21006,17A166-881P02,"F414 RUNNER,SEAL FORGING",F414,Military ,,UNK,A,0,54,75,54,40,40,276
21006,17A166-985P01,#1 ROTATING SEAL FORGING,F414,Military ,,UNK,A,0,54,75,54,40,40,276
21006,2007M20P02,FORGING,"GE90 GE90-115B",Commercial ,,NLR,A/C,0,152,130,95,80,50,532
07312,2116M10P01,"SEAL, ROT AIR",F110-GE-JDA,Military ,,LRC,A,0,20,20,20,5,5,74
21006,2447M13P02,STG 4 ARM/FLANGE/GENX,GENX-1B    GENX-2B   ,Commercial ,,NLR,A/C,0,277,286,286,286,286,1492
21006,2462M84P01,STG 4 ARM/FLANGE,GENX-1B    GENX-2B   ,Commercial ,,NLR,A/C,0,277,286,286,286,286,1492
07312,2468M26P01,LEAPX STG.1 AFT SPACER ARM FORGING,LEAP-1AC/1B ,Commercial,,NLR,A/C,0,1175,1625,1724,1759,1839,8528
21006,2468M30P01,LEAPX STG.3-4 AFT SPACER ARM FORGING,LEAP- 1A/C,Commercial,,NLR,A/C,0,544,562,577,612,692,3136
21006,2468M30P02,LEAP-1B STG. 3-4 AFT SPACER ARM FORGING,LEAP-1B,Commercial,,NLR,A/C,0,631,1063,1147,1147,1147,5392
50620,4012900-510P04,RING,LM2500/CF6,Military/Commercial,,UNK,A/B,163,190,190,200,200,200,1200
50620,4013050-769P02,FLANGE,LM2500,Military/Commercial,,NLR,A/B,163,190,190,200,200,200,1200
50620,4013078-076P01,RING,LM2500/CF6,Military/Commercial,,UNK,A/B,163,190,190,200,200,200,1200
38195,4013080-757P01,FLANGE,LM2500,Military ,,NLR,A,0,190,190,200,200,200,1029
50620,4013081-646P02,MACHINED RING,�CF6-80C,Commercial,,NLR,A/B/C,22,18,18,18,18,18,118
50620,4013081-646P03,AFT FLANGE,�CF6-80C,Commercial,,NLR,A/B/C,22,18,18,18,18,18,118
93689,4013082-728P01,FLANGE,LM2500/CF6,Military/Commercial,,NLR,A/B,163,190,190,200,200,200,1200
93689,4013082-728P02,FLANGE,LM2500/CF6,Military/Commercial,,NLR,A/B,163,190,190,200,200,200,1200
21006,4013082-800P04,FORGING FRT CASE,F110-GE-JDA,Military,,UNK,A,0,20,20,20,5,5,74
21006,4013083-509P09,RETAINER FORGING, CF6/LM6000,Military/Commercial,,UNK,A,0,79,84,84,84,84,436
50620,4013382-684P01,AFT RING,LM2500,Commercial ,,UNK,A/B/C,163,190,190,200,200,200,1200
77623,4013382-898P01,LPT CASE,GE90 Base ,Commercial ,,NLR,A/C,0,152,130,95,80,50,532
38195,4013382-922P04,FWD FLG-0-CSG TMF,LM2500,Military ,,NLR,A,0,190,190,200,200,200,1029
50620,4013382-924P02,AFT FLANGE,LM2500,Commercial ,,NLR,A/B/C,163,190,190,200,200,200,1200
50620,4013382-925P02,AFT FLANGE,LM2500,Commercial,,NLR,A/B/C,163,190,190,200,200,200,1200
21006,4013382-989P02,GE90-115B TCF CASE FORGING (1PC.),GE90-155B,Commercial,,NLR,A/C,0,152,130,95,80,50,532
21006,4013428-448P03,OUTER CASE FOG,GE90 Base ,Commercial,,UNK,A/C,0,152,130,95,80,50,532
21006,4013431-062P04,"  FORGING, HPT CASE",GE90-115B,Commercial,,NLR,A/C,0,152,130,95,80,50,532
21006,4013437-088P05,FORGING,GE90 Base ,Commercial,,UNK,A/C,0,152,130,95,80,50,532
21006,4013437-156P03,FORGING,GE90 Base ,Commercial,,UNK,A/C,0,152,130,95,80,50,532
50620,4013522-284P03,FORGING,CFM56,Commercial ,,NLR,A/B/C,1000,620,138,64,52,52,2022
38195,4013522-398P03,FORGING,F110-GE-JDA,Military ,,UNK,A,0,20,20,20,5,5,74
77623,4013522-438P04,LPT CASE FORGING NNS 718+,GE90-115B,Commercial ,* 718+  material pass thru,NLR,A/C,0,152,130,95,80,50,532
77623,4013522-460P01,SEMI-MACH (TURNED) GE90-115B LPT CASE,GE90-155B,Commercial ,* 718+  material pass thru,NLR,A/C,0,152,130,95,80,50,532
07312,4013522-469P03,LEAP TCF FWD FLANGE FORGING,LEAP- 1A/C,Commercial,,NLR,A/C,0,544,562,577,612,692,3136
77623,4013522-470P04,TCF AFT FLG MACHINED FORGING,LEAP- 1A/C,Commercial,,NLR,A/C,0,544,562,577,612,692,3136
