Item #,LTA,Site,2010 Defla-tion,2011 Defla-tion,2012 Defla-tion,2013 Defla-tion,2014 Defla-tion,2015 Defla-tion,2016 Defla-tion,2017 Defla-tion,Alloy Family,Alloy,Spec,Billet Dia.,GE Yielded Wt,GE P/N,Forging P/N,Alternate P/N,Nomenclature,Engine Module,Machining Source #1,Machining Source #2,Machining Source #3,, 2006 LTA Price per Confirming Quotes , 2007 Q1 Price per Part , 2007 Q2-Q4 Price per Part , 2008 Price per Part , 2009 Price per Part , 2010 Price per Part , 2011 Price per Part , 2012 Price per Part , 2013 Price per Part , 2014 Price per Part , 2015 Price per Part , 2016 Price per Part , 2017 Price per Part ,Comments
0,Base - 2,FMI,-0.50%,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,2219,AMS 4143,7.5,1.5,4128T13P01,4128T13,,,,Sun Country,,,, $208 , $204 , $204 , $201 , $200 , $199 , $198 , $197 , $196 , $192 , $188 , $184 , $181 ,
1,Base - 1,SFC,-3.50%,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,R41,B50TF110,9.5,94.5,10042170P02,10042170P02,,,,GE Aviation,,,," $3,788 "," $4,040 "," $4,068 "," $4,100 "," $3,957 "," $3,818 "," $3,684 "," $3,555 "," $3,431 "," $3,362 "," $3,295 "," $3,229 "," $3,164 ",
4,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,6061,AMS 4127,14,172.6,10042512P02,10042512P02,,,,UEC-TH,,,," $1,265 "," $1,308 "," $1,308 "," $1,288 "," $1,282 "," $1,276 "," $1,269 "," $1,263 "," $1,256 "," $1,231 "," $1,207 "," $1,183 "," $1,159 ",
7,Base - 1,SFC,-4.00%,-4.00%,-4.00%,-4.00%,-2.00%,-2.00%,-2.00%,-2.00%,Ti,Ti 6-4,AMS 4928,8,0.8,10043002 KIT,5104T28P13,,,,Paradigm-AZ,,,, $53 ," $5,856 "," $5,856 "," $5,761 "," $5,530 "," $5,309 "," $5,097 "," $4,893 "," $4,697 "," $4,603 "," $4,511 "," $4,421 "," $4,332 ",COS is 1=88 sleeve
9,Base - 1,SFC,-3.50%,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718TM,C50TF104,8,73.5,1275M13P04,1275M13P04SC,,,,UEC-Asheville,Dover Tool,,," $1,654 "," $1,915 "," $1,987 "," $1,985 "," $1,916 "," $1,849 "," $1,784 "," $1,722 "," $1,661 "," $1,628 "," $1,595 "," $1,564 "," $1,532 ",
13,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,2219,AMS 4143,6,33.0,1277M91G03,1277M91P01,,,,Barnes,UEC-WB,,, $9 , $320 , $320 , $315 , $314 , $312 , $310 , $309 , $304 , $297 , $292 , $286 , $280 ,Price adjustment for 2013 made 12/10; use same forging for all 1277M91 Group #'s; 1=4 sleeve sold as sleeve
14,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,2219,AMS 4143,6,33.0,1277M91G04,1277M91P01,,,,Barnes,UEC-WB,,, $10 , $316 , $316 , $311 , $310 , $308 , $307 , $305 , $304 , $297 , $292 , $286 , $280 , use same forging for all 1277M91 Group #'s; 1=4 sleeve sold as sleeve
15,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,2219,AMS 4143,6,33.0,1277M91G07,1277M91P01,,,,UEC-WB,,,, $9 , $320 , $320 , $315 , $314 , $312 , $603 , $600 , $304 , $297 , $292 , $286 , $280 ,Price adjustment for 2013 made 12/10; use same forging for all 1277M91 Group #'s; 1=4 sleeve sold as sleeve
16,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,2219,AMS 4143,6,33.0,1277M91G08,1277M91P01,,,,UEC-WB,,,, $10 , $316 , $316 , $311 , $310 , $308 , $307 , $305 , $304 , $297 , $292 , $286 , $280 , use same forging for all 1277M91 Group #'s; 1=4 sleeve sold as sleeve
23,Base - 1,SFC,-3.50%,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,B50TF15,10,248.1,1285M49G03,4013084-277P07,,,,UEC-Asheville,,,," $3,288 "," $4,853 "," $5,097 "," $5,008 "," $4,833 "," $4,664 "," $4,500 "," $4,343 "," $4,191 "," $4,107 "," $4,025 "," $3,944 "," $3,865 ",
25,Base - 1,FRC,-3.50%,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,B50TF15,8,211.7,1288M41G05 / G06,1288M41G05 / G06 / G06SR,,,,UEC-Suzhou  ,,,," $2,906 "," $4,230 "," $4,437 "," $4,361 "," $4,209 "," $4,061 "," $3,919 "," $3,782 "," $3,650 "," $3,577 "," $3,505 "," $3,435 "," $3,366 ",
27,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,17.4PH,AMS 5643,6,63.1,1292M43P04,1292M43P04-FRG,,,,Jet Industries,Paradigm,,, $318 , $384 , $384 , $416 , $414 , $412 , $410 , $408 , $406 , $398 , $390 , $382 , $374 ,
31,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,2618,AMS 4132,12,12.9,1317M81G01,1317M81G01,,,,Sun Country,,,, $84 , $338 , $338 , $333 , $331 , $330 , $328 , $326 , $325 , $318 , $312 , $306 , $299 ,
32,Base - 1,FRC,-3.50%,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718TM,C50TF103,6,42.0,1319M17P02,4013522-267P02,1319M17P02SR,,,XAE,UEC-Suzhou,,, $804 , $954 , $995 , $996 , $961 , $927 , $895 , $864 , $833 , $817 , $800 , $784 , $769 ,Same as Item 419; will use Item 32
45,Base - 1,SFC,-3.50%,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,B50TF15,12,340.5,1358M15G06,4013287-625,,,,UEC-Asheville,,,," $4,919 "," $7,079 "," $7,413 "," $7,285 "," $7,030 "," $6,784 "," $6,547 "," $6,317 "," $6,096 "," $5,974 "," $5,855 "," $5,738 "," $5,623 ",
