ID ,Finished Part Number ,QPE,Forging Part Number ,Nomenclature ,"LTA COS - Finished Part L (+.010 Tol.) ","LTA COS - Finished Part ID (-.005 Tol.) ",LTA COS - Finished Part OD (+.005 Tol.) ,Material  Name ,Material Spec/Class,Drawing/Contour ,Winning Supplier ,2016 Price ,2017 Price ,YOY ,Mat. Type,EP,VSE Initiated,VSE Phase ,Winning LTA Quote,Order Received From Machining Source (Y/N),Date Machine Shop PO Received,Required date for first delivery,Machine Shop,Mach Shop COS - Length,Mach Shop COS - OD,Mach Shop COS - ID,Cut Weight,Fontana R#,Agreed Upon Shape (Y/N),Billet Commit Date,Supplier Commit ,First Shipment Quantity,Production Lead Time (does not include material LT),Comments NIK 7/22,Comments AMANDA 7/29,Comments NIK 8/6,Comments NIK 8/12,Comments NIK 9/15,Comments NIK 9/23,Comments AW 10/2
4,2463M40G01,1,2463M40P01.002R,"SHROUD, IGV",1.118,8.346,9.845,Al,AMS 4132,,Alcoa Fontana,$118,$112 ,5%,Al,LEAP A/C,38195-VSE-15-03764,Initiated ,190060 / 202924,Y,8/10/15,11/15/15,B&F,1.118,8.346,9.845,,1794100,,,,12,10 weeks,,Needs re-quote due to change in dimensions provided by Matt Brehm.  Sent to CE 8/3 (new quote - 202924),,,"WO1505180 QTY 12 waiting to launch, asked Monica to confirm job launch date",WO1505180 IN WIP,
6,2463M41P01,2,2463M41P01.000R,"SHRD,CMPRSTR-S1",1.445,10.993,12.653,Al,AMS 4143 or AMS 4144 or AMS 4162,,Alcoa Fontana,$118,$112 ,5%,Al,LEAP A/C,38195-VSE-15-03083,Initiated ,190062 / 203308,Y,8/12/15,12/15/15,B&F,1.445,12.653,10.993,,1794500,,,,12,5 weeks,,no issue on price. BF should place order,,"Asked CE for updated quote for a sleeve, not parted.",updated quote for sleeve,,
7,2463M41P02,3,2463M41P02.000R,"SHRD,CMPRSTR-S1",1.445,10.993,12.653,Al,AMS 4143 or AMS 4144 or AMS 4163,,Alcoa Fontana,$118,$112 ,5%,Al,LEAP A/C,38195-VSE-15-03083,Initiated ,190063,N,,,B&F,,,,,,,,,,,,no issue on price. BF should place order,,,,,
8,2463M41P03,2,2463M41P03.000R,"SHRD,CMPRSTR-S1",1.445,10.993,12.653,Al,AMS 4143 or AMS 4144 or AMS 4164,,Alcoa Fontana,$118,$112 ,5%,Al,LEAP A/C,38195-VSE-15-03083,Initiated ,190064,N,,,B&F,,,,,,,,,,,,no issue on price. BF should place order,,,,,
9,2463M41P04,3,2463M41P04.000R,"SHRD,CMPRSTR-S1",1.445,10.993,12.653,Al,AMS 4143 or AMS 4144 or AMS 4165,,Alcoa Fontana,$118,$112 ,5%,Al,LEAP A/C,38195-VSE-15-03083,Initiated ,190065,N,,,B&F,,,,,,,,,,,,no issue on price. BF should place order,,,,,
10,2463M42P05,2,2463M42P05.000R,"SHRD,CMSTR-S2",1.225,12.915,14.277,Al,AMS 4143 or AMS 4144 or AMS 4166,,Alcoa Fontana,$111,$105 ,5%,Al,LEAP A/C,38195-VSE-15-03084 ,Initiated ,190066 / 203327,Y,8/12/15,11/20/15,B&F,1.225,12.915,14.277,,1794600,,,,12,5 weeks,,,,"ID on the PO does not match LTA COS Asked CE for updated quote for a sleeve, not parted.",updated quote for sleeve,WO1505144 PENDING LAUNCH,
11,2463M42P06,3,2463M42P06.000R,"SHRD,CMSTR-S2",1.225,12.915,14.277,Al,AMS 4143 or AMS 4144 or AMS 4167,,Alcoa Fontana,$111,$105 ,5%,Al,LEAP A/C,38195-VSE-15-03084 ,Initiated ,190067,N,,,B&F,,,,,,,,,,,,,,,,,
12,2463M42P07,2,2463M42P07.000R,"SHRD,CMSTR-S2",1.225,12.915,14.277,Al,AMS 4143 or AMS 4144 or AMS 4168,,Alcoa Fontana,$111,$105 ,5%,Al,LEAP A/C,38195-VSE-15-03084 ,Initiated ,190068,N,,,B&F,,,,,,,,,,,,,,,,,
13,2463M42P08,3,2463M42P08.000R,"SHRD,CMSTR-S2",1.225,12.915,14.277,Al,AMS 4143 or AMS 4144 or AMS 4169,,Alcoa Fontana,$111,$105 ,5%,Al,LEAP A/C,38195-VSE-15-03084 ,Initiated ,190069,N,,,B&F,,,,,,,,,,,,no issue on price. BF should place order ,,,,,
14,2463M43P04,1,2463M43P04.000R,"SHRD,CMSTR-S3",1.063,13.981,15.129,Al,AMS 4143 or AMS 4144 or AMS 4170,,Alcoa Fontana,$112,$106 ,5%,Al,LEAP A/C,38195-VSE-15-03085 ,Initiated ,190070,N,,,B&F,,,,,,,,,,,,,,,,,
15,2463M43P05,5,2463M43P05.000R,"SHRD,CMSTR-S3",1.063,13.981,15.129,Al,AMS 4143 or AMS 4144 or AMS 4171,,Alcoa Fontana,$108,$103 ,5%,Al,LEAP A/C,38195-VSE-15-03085 ,Initiated ,190071 / 203382,Y,8/12/15,1/5/16,B&F,1.063,13.981,15.129,,1794700,,,,9,5 weeks,,,,"Asked CE for updated quote for a sleeve, not parted. Q 190071 pricing is wrong per piece, should be $108",updated quote for sleeve,WO1505188 PENDING LAUNCH,
16,2463M43P06,6,2463M43P06.000R,"SHRD,CMSTR-S3",1.063,13.981,15.129,Al,AMS 4143 or AMS 4144 or AMS 4172,,Alcoa Fontana,$108,$103 ,5%,Al,LEAP A/C,38195-VSE-15-03085 ,Initiated ,190072,N,,,B&F,,,,,,,,,,,,,,,,,
51,2552M30G01,1,2552M30G01.002R,"SHRD,HPC,IGV",0.915,8.087,9.547,Al,AMS 4132,,Alcoa Fontana,$184,$175 ,5%,Al,Leap-1B,38195-VSE-15-03354 ,Initiated ,190107 / 203577,y,8/24/15,2/1/16,B&F,0.915,8.087,9.547,,1795500,,,,7,7 weeks,,Needs re-quote due to change in dimensions provided by Matt Brehm.  Sent to CE 8/3 (new quote - 202676),,,,pending material commit,
52,2552M30G01,1,2552M30G01.003R,"SHRD,HPC,IGV",2.036,5.683,9.675,Al,AMS 4132,,Alcoa Fontana,$210,$200 ,5%,Al,Leap-1B,38195-VSE-15-03357 ,Initiated ,190108 / 199959,Y,8/24/15,2/1/16,B&F,2.036,5.683,9.675,,1795400,,,,14,7 weeks,,,,,,"quote is for a sleeve, check pricing B&F PN is TF2552M30P02, pending material commit",
95,2596M81G02,1,2596M81P03.000R/2596M18P04.000R,SUPPORT,0.321,23.357,26.607,R41,B50TF110 CL-E,,Alcoa Fontana,$826,$785 ,5%,R41,LEAP A/C,,,190151,N,,,Birken,,,,,,,,,,,Katie - Please confirm PN.  Our tracker lists a 2596M81P03 with Birken as the machine source. Is this just a typo?  ,Nik - Quote 190151 is tied to this PN.,"Per Matther Brehm email to Amanda 8/5 At LTA � FTP .06 over 26.607 x 23.357 x .321 Current � FTP .100 over 26.802 x 23.357 x .257.  Please requote to Birken on this size.  Revised quote # is 203252.  Sent to GE on 8/14.",No PO from Birken,,"We make 2596M81P01 for electro methods currently under R# 1729000, it is marked as Leap X - any relationship to this PN?",Updated qutoes sent to GE on 10/1 quote 204572. Pending feedback from GE
131,2552M31P01,2,2552M31P01.000R,"SHROUD, COMPRESSOR STATOR- STAGE 1",1.445,10.637,12.261,AL 2219,"AMS 4143 or AMS 4144 or AMS 4162",,Alcoa Fontana,$112,$106,5%,AL 2219,Leap-1B,,,192631 / 202650,Y,,,PCC WB,,,,,,,,,,,,,,,,PO IN CONTRACT REVIEW,
