LTA,FA P/N,GE P/N,Forging P/N,Machining Source #1,Machining Source #2,EP,Engines Per Year,Share,Alloy,Size,Spec,2013 Price per Part (USD),2014 Price per Part (USD),2015 Price per Part (USD),2016 Price per Part (USD),2017 Price per Part (USD),NOTES,,,
2014-2017,513,9977013-696G01 KIT,4013522-239P01,Liming Aero,,CFM 56,1350,50%,718 STD,10,B50TF15," $2,179.00 "," $2,135.42 "," $2,092.71 "," $2,050.86 "," $2,009.84 ",2% Def YOY through 2017,,,
2014-2017,505,4013522-317P01,4013522-317P01,AIDC,Liming Aero,CF34,250,100%,718 STD,10,B50TF15," $2,014.00 "," $1,973.72 "," $1,934.25 "," $1,895.56 "," $1,857.65 ",2% Def YOY through 2017,,,
2014-2017,713,3063T81G01,9511S2001458,Samsung,,CF34,250,100%,718 STD,10,B50TF15," $3,405.00 "," $3,336.90 "," $3,270.16 "," $3,204.76 "," $3,140.66 ",2% Def YOY through 2017,,,
2014-2017,745 / 742,4013436-844P01,4013436-844P01,Famat,ITP,GE90-115,180,100%,718 STD,10,B50TF15," $4,328.00 "," $4,241.44 "," $4,156.61 "," $4,073.48 "," $3,992.01 ",2% Def YOY through 2017,,,
2014-2017,746 / 743,4013436-845P01,4013436-845P01,Famat,ITP,GE90-115,180,100%,718 STD,10,B50TF15," $2,817.00 "," $2,760.66 "," $2,705.45 "," $2,651.34 "," $2,598.31 ",2% Def YOY through 2017,,,
2014-2017,744,4013287-689,4013287-689,ITP,,GE90-115,180,100%,718 STD,10,B50TF15," $2,379.00 "," $2,331.42 "," $2,284.79 "," $2,239.10 "," $2,194.31 ",2% Def YOY through 2017,,,
2014-2017,730,2041M71P01,2041M71P01,APPI,,GP7200,90,100%,718 STD,10,B50TF15," $1,746.00 "," $1,711.08 "," $1,676.86 "," $1,643.32 "," $1,610.45 ",2% Def YOY through 2017,,,
2014-2017,731,9977013-776G01/9977013-803 KIT,9977009-510P01,Paradigm,,CF6,140,100%,718 STD,10,B50TF15, $886.00 , $886.00 , $886.00 , $886.00 , $886.00 ,Same price through 2017,,,
2014-2017,732,2060M46P01,2060M46 P01-FRG,Paradigm,,GP7200,90,100%,718 STD,10,B50TF15," $1,936.00 "," $1,936.00 "," $1,936.00 "," $1,936.00 "," $1,936.00 ",Same price through 2017,,,
2014-2017,516,2013M92,2013M9P01SC,UEC Asheville,,GE90-115,180,100%,Ti 6-4 Premium,10,C50TF12 CLASS I ," $9,777.00 "," $9,581.46 "," $9,389.83 "," $9,202.03 "," $9,017.99 ",2% Def YOY through 2017,,,
2014-2017,784,2321M90G02 & 2327M10G02*,BF-AMS4928-01,SAM (Suzhou),,GENX,150,100%,Ti 6-4,8,AMS4928," $4,285.44 "," $4,199.73 "," $4,115.73 "," $4,033.41 "," $3,952.74 ",2% Def YOY through 2017,,,
2014-2017,785,2321M91G04 & 2327M11G04*,BF-AMS4928-02,SAM (Suzhou),,GENX,150,100%,Ti 6-4,8,AMS4928," $5,008.90 "," $4,908.74 "," $4,810.56 "," $4,714.34 "," $4,620.05 ",2% Def YOY through 2017,,,
2014-2017,786,2321M94G04 & 2327M12G04*,BF-AMS4928-03,SAM (Suzhou),,GENX,150,100%,Ti 6-4,8,AMS4928," $6,075.19 "," $5,953.68 "," $5,834.60 "," $5,717.90 "," $5,603.54 ",2% Def YOY through 2017,,,
2014-2017,787,2321M92G04*,BF-AMS4928-04,SAM (Suzhou),,GENX,150,100%,Ti 6-4,8,AMS4928," $5,110.27 "," $5,008.06 "," $4,907.89 "," $4,809.73 "," $4,713.53 ",2% Def YOY through 2017,,,
2014-2017,788,2321M93G04*,BF-AMS4928-05,SAM (Suzhou),,GENX,150,100%,Ti 6-4,8,AMS4928," $5,727.74 "," $5,613.18 "," $5,500.91 "," $5,390.89 "," $5,283.07 ",2% Def YOY through 2017,,,
2014-2017,519,2475M00,2475M00F,Paradigm,,Passport 20,50,100%,718 Plus,12,C50TF128 CL A, NA ," $9,300.00 "," $9,300.00 "," $9,114.00 "," $8,931.72 ",2% Def from 2016 through 2017,,,
