ID ,Finished Part Number ,QPE ,Forging Part Number ,Nomenclature ,"Finished Part L (+.010 Tol.) ","Finished Part ID (-.005 Tol.) ",Finished Part OD (+.005 Tol.) ,Material  Name ,Material Spec/Class,Drawing/Contour ,Current Supplier ,Current Price ,Winning Supplier ,,,Supplier Win % ,Updated percentages,2016 Price ,2017 Price ,YOY ,Mat. Type,VSE Intiated,VSE Phase ,Supplier Commit ,Shape Completed,Machining Supplier ,Machine Supplier % ,Change,Indirect PA,EP,,Old %,,New %,,notes
4,2463M40G01,1,2463M40P01.000R,"SHROUD, IGV",1.118,8.346,10.012,Al,AMS 4132,,Carlton Forge,$161.25,Alcoa Fontana,,,30,100,$118,$112 ,5%,Al,,,,,B&F,50%,50% Alcoa ,,LEAP A/C,,,,,,
51,2552M30G01,1,2552M30G01.002R,"SHRD,HPC,IGV",0.915,8.087,9.505,Al,AMS 4132,,Carlton Forge,$217.33,GATD,0.8,0.5,80,50,$32,$30 ,5%,Al,,,,,Sun Country ,50%,,,Leap-1B,40,25.6," $1,024.00 ",$16.00 ,$640.00 ,
5,2463M40G01,1,2463M40P02.000R,"SHROUD, IGV",2.81,5.837,10.012,Al,AMS 4132,,Carlton Forge,$317.00,Carlton Forge,,,30,50,$326,$310 ,5%,Al,,,,,B&F,50%,50% Carlton,,LEAP A/C,,,,,,
4,2463M40G01,1,2463M40P01.000R,"SHROUD, IGV",1.118,8.346,10.012,Al,AMS 4132,,Carlton Forge,$161.25,GATD,0.7,0.5,70,50,$39,$37 ,5%,Al,,,,,Sun Country ,50%,50% GATD ,,LEAP A/C,110,27.3042," $3,003.46 ",$19.50 ,"$2,145.33 ",
6,2463M41P01,2,2463M41P01.000R,"SHRD,CMPRSTR-S1",1.445,10.993,12.653,Al,AMS 4143 or AMS 4144 or AMS 4162,,Carlton Forge,$242.25,Alcoa Fontana,,,30,100,$118,$112 ,5%,Al,,,,,B&F ,50%,50% Alcoa ,,LEAP A/C,,,,,,
133,2552M33P01,1,2552M33P01.000R,"SHROUD, COMPRESSOR STATOR- STAGE 3",1.07,13.537,14.6494,AL 2219,"AMS 4143 or AMS 4144 or AMS 4164",,BAR,$119.40,GATD,0.7,0.5,70,50,$47,$45 ,5%,AL 2219,,,,,PCC WB ,50%,Alcoa 50%,,Leap-1B,40,32.9," $1,316.00 ",$23.50 ,$940.00 ,
7,2463M41P02,3,2463M41P02.000R,"SHRD,CMPRSTR-S1",1.445,10.993,12.653,Al,AMS 4143 or AMS 4144 or AMS 4163,,Carlton Forge,$242.25,Alcoa Fontana,,,30,100,$118,$112 ,5%,Al,,,,,B&F ,50%,50% Alcoa ,,LEAP A/C,,,,,,
2,2462M89G01,1,2462M89G01.002R,"RING,ACTG",0.48,11.688,12.218,17-4PH,AMS 5643 or AMS 5604 (H1150 HT Cond.),,Alcoa Rochester,$148.90,GATD,0.7,0.5,70,50,$48,$46 ,5%,17-4PH,,,,,Sam Suzhou,50%,50% GATD ,,LEAP A/C,110,33.5846," $3,694.31 ",$23.99 ,"$2,638.79 ",
8,2463M41P03,2,2463M41P03.000R,"SHRD,CMPRSTR-S1",1.445,10.993,12.653,Al,AMS 4143 or AMS 4144 or AMS 4164,,Carlton Forge,$242.25,Alcoa Fontana,,,30,100,$118,$112 ,5%,Al,,,,,B&F ,50%,50% Alcoa ,,LEAP A/C,,,,,,
3,2462M90G01,1,2462M90G01.002R,IGVRING LOWER,0.48,11.688,12.218,17-4PH,AMS 5643 or AMS 5604 (H1150 HT Cond.),,Alcoa Rochester,$143.20,GATD,0.7,0.5,70,50,$48,$46 ,5%,17-4PH,,,,,Sam Suzhou,50%,50% GATD ,,LEAP A/C,110,33.5846," $3,694.31 ",$23.99 ,"$2,638.79 ",
9,2463M41P04,3,2463M41P04.000R,"SHRD,CMPRSTR-S1",1.445,10.993,12.653,Al,AMS 4143 or AMS 4144 or AMS 4165,,Carlton Forge,$242.25,Alcoa Fontana,,,30,100,$118,$112 ,5%,Al,,,,,B&F ,50%,50% Alcoa ,,LEAP A/C,,,,,,
14,2463M43P04,1,2463M43P04.000R,"SHRD,CMSTR-S3",1.063,13.981,15.129,Al,AMS 4143 or AMS 4144 or AMS 4170,,Carlton Forge,$256.50,GATD,0.7,0.5,70,50,$49,$47 ,5%,Al,,,,,PCC WB ,50%,50% GATD ,,LEAP A/C,110,34.3," $3,773.00 ",$24.50 ,"$2,695.00 ",
10,2463M42P05,2,2463M42P05.000R,"SHRD,CMSTR-S2",1.225,12.915,14.277,Al,AMS 4143 or AMS 4144 or AMS 4166,,Carlton Forge,$295.00,Alcoa Fontana,,,30,100,$111,$105 ,5%,Al,,,,,B&F ,50%,50% Alcoa ,,LEAP A/C,,,,,,
15,2463M43P05,5,2463M43P05.000R,"SHRD,CMSTR-S3",1.063,13.981,15.129,Al,AMS 4143 or AMS 4144 or AMS 4171,,Carlton Forge,$256.50,GATD,0.7,0.5,70,50,$49,$47 ,5%,Al,,,,,PCC WB ,50%,50% GATD ,,LEAP A/C,110,34.3," $3,773.00 ",$24.50 ,"$2,695.00 ",
11,2463M42P06,3,2463M42P06.000R,"SHRD,CMSTR-S2",1.225,12.915,14.277,Al,AMS 4143 or AMS 4144 or AMS 4167,,Carlton Forge,$295.00,Alcoa Fontana,,,30,100,$111,$105 ,5%,Al,,,,,B&F ,50%,50% Alcoa ,,LEAP A/C,,,,,,
16,2463M43P06,6,2463M43P06.000R,"SHRD,CMSTR-S3",1.063,13.981,15.129,Al,AMS 4143 or AMS 4144 or AMS 4172,,Carlton Forge,$256.50,GATD,0.7,0.5,70,50,$49,$47 ,5%,Al,,,,,PCC WB ,50%,50% GATD ,,LEAP A/C,110,34.3," $3,773.00 ",$24.50 ,"$2,695.00 ",
12,2463M42P07,2,2463M42P07.000R,"SHRD,CMSTR-S2",1.225,12.915,14.277,Al,AMS 4143 or AMS 4144 or AMS 4168,,Carlton Forge,$295.00,Alcoa Fontana,,,30,100,$111,$105 ,5%,Al,,,,,B&F ,50%,50% Alcoa ,,LEAP A/C,,,,,,
6,2463M41P01,2,2463M41P01.000R,"SHRD,CMPRSTR-S1",1.445,10.993,12.653,Al,AMS 4143 or AMS 4144 or AMS 4162,,Carlton Forge,$242.25,GATD,0.7,0.5,70,50,$50,$48 ,5%,Al,,,,,PCC WB ,50%,50% GATD ,,LEAP A/C,110,35," $3,850.00 ",$25.00 ,"$2,750.00 ",
13,2463M42P08,3,2463M42P08.000R,"SHRD,CMSTR-S2",1.225,12.915,14.277,Al,AMS 4143 or AMS 4144 or AMS 4169,,Carlton Forge,$295.00,Alcoa Fontana,,,30,100,$111,$105 ,5%,Al,,,,,B&F ,50%,50% Alcoa ,,LEAP A/C,,,,,,
7,2463M41P02,3,2463M41P02.000R,"SHRD,CMPRSTR-S1",1.445,10.993,12.653,Al,AMS 4143 or AMS 4144 or AMS 4163,,Carlton Forge,$242.25,GATD,0.7,0.5,70,50,$50,$48 ,5%,Al,,,,,PCC WB ,50%,50% GATD ,,LEAP A/C,110,35," $3,850.00 ",$25.00 ,"$2,750.00 ",
14,2463M43P04,1,2463M43P04.000R,"SHRD,CMSTR-S3",1.063,13.981,15.129,Al,AMS 4143 or AMS 4144 or AMS 4170,,Carlton Forge,$256.50,Alcoa Fontana,,,30,100,$112,$106 ,5%,Al,,,,,B&F ,50%,50% Alcoa ,,LEAP A/C,,,,,,
8,2463M41P03,2,2463M41P03.000R,"SHRD,CMPRSTR-S1",1.445,10.993,12.653,Al,AMS 4143 or AMS 4144 or AMS 4164,,Carlton Forge,$242.25,GATD,0.7,0.5,70,50,$50,$48 ,5%,Al,,,,,PCC WB ,50%,50% GATD ,,LEAP A/C,110,35," $3,850.00 ",$25.00 ,"$2,750.00 ",
15,2463M43P05,5,2463M43P05.000R,"SHRD,CMSTR-S3",1.063,13.981,15.129,Al,AMS 4143 or AMS 4144 or AMS 4171,,Carlton Forge,$256.50,Alcoa Fontana,,,30,100,$108,$103 ,5%,Al,,,,,B&F ,50%,50% Alcoa ,,LEAP A/C,,,,,,
9,2463M41P04,3,2463M41P04.000R,"SHRD,CMPRSTR-S1",1.445,10.993,12.653,Al,AMS 4143 or AMS 4144 or AMS 4165,,Carlton Forge,$242.25,GATD,0.7,0.5,70,50,$50,$48 ,5%,Al,,,,,PCC WB ,50%,50% GATD ,,LEAP A/C,110,35," $3,850.00 ",$25.00 ,"$2,750.00 ",
16,2463M43P06,6,2463M43P06.000R,"SHRD,CMSTR-S3",1.063,13.981,15.129,Al,AMS 4143 or AMS 4144 or AMS 4172,,Carlton Forge,$256.50,Alcoa Fontana,,,30,100,$108,$103 ,5%,Al,,,,,B&F ,50%,50% Alcoa ,,LEAP A/C,,,,,,
10,2463M42P05,2,2463M42P05.000R,"SHRD,CMSTR-S2",1.225,12.915,14.277,Al,AMS 4143 or AMS 4144 or AMS 4166,,Carlton Forge,$295.00,GATD,0.7,0.5,70,50,$50,$48 ,5%,Al,,,,,PCC WB ,50%,50% GATD ,,LEAP A/C,110,35," $3,850.00 ",$25.00 ,"$2,750.00 ",
11,2463M42P06,3,2463M42P06.000R,"SHRD,CMSTR-S2",1.225,12.915,14.277,Al,AMS 4143 or AMS 4144 or AMS 4167,,Carlton Forge,$295.00,GATD,0.7,0.5,70,50,$50,$48 ,5%,Al,,,,,PCC WB ,50%,50% GATD ,,LEAP A/C,110,35," $3,850.00 ",$25.00 ,"$2,750.00 ",
