ID ,Finished Part Number ,Forging Part Number ,Nomenclature ,"Finished Part L (+.010"" Tol.) ","Finished Part ID (-.005"" Tol.) ",Finished Part OD (+.005 Tol.) ,Material  Name ,Material Spec/Class,EP,VSE Initiated,VSE Phase ,"Alternate Part L (+.010"" Tol.) ","Alternate Part ID (-.005"" Tol.) ",Alternate Part OD (+.005 Tol.) ,Alternate Material Spec/Class,MACHINING SOURCE,Cut Weight (Lbs.) ,Winning Supplier , LTA 2016 Price  ,Alternate 2016 Price ,Order Received From Machining Source (Y/N),Agreed on COS     (Y/N),Agreed Upon Shape (Y/N),Bar  Commit Date,Supplier Commit ,First Shipment Quantity,Production Lead Time,COMMENTS
61,2466M25P01,2466M25P01.000W,"RING, RETAINER",0.17,15.397,15.435,I718,B50TF15 CL-E,LEAP A/C,93689-VSE-15-02411,5,,,,,Space-Craft ,12.52,Welded Ring Products,$117,,y,y,y,10/26/15,1=6 ring,12/4/15,5 weeks,
65,2462M22P03,D2462M22P03,Inner Liner Fwd Ring,0,0,0,HS188,B50TF74CLA,LEAP A/C,Terre Haute ,3,,,,AMS 5772,Terre Haute ,18.57,Welded Ring Products,$825,,n,n,n,,,,5 weeks,LTA FPN 2609M10G03
66,2462M23P01,D2462M23P01,Outer Liner Fwd Ring,0,0,0,HS188,B50TF74CLA,LEAP A/C,Terre Haute ,3,,,,AMS 5772,Terre Haute ,25.72,Welded Ring Products,"$1,100",,n,n,n,,,,5 weeks,LTA FPN 2609M10G05
71,2462M27P03,D2462M27P03,Inner Baffle Fwd Baffle,0,0,0,HS188,B50TF74CLA,LEAP A/C,Terre Haute ,3,,,,AMS 5772,Terre Haute ,14.51,Welded Ring Products,$130,,n,n,n,,1=6 ring,,5 weeks,LTA FPN 2609M10G16
73,2609M12P01,D2609M12P01,Outer Support,0,0,0,I718+,B50TF317CLB,LEAP A/C,Terre Haute ,3,,,,,Terre Haute ,90.52,Welded Ring Products,"$3,125",,y,y,y,10/5/15,shaped ring,11/16/15,5 weeks,LTA FPN 2609M10G19
75,2559M22P02,D2559M22P02,Inner Liner Aft Ring,0,0,0,HS188,B50TF74CLA,Leap-1B,Terre Haute ,3,,,,AMS 5772,Terre Haute ,24.78,Welded Ring Products,"$1,090",,n,n,n,,,,5 weeks,LTA FPN 2609M10G21
88,2482M35G02,2482M35P03.000R,"SEAL, TRANS-DUCT",0.665,15.433,17.261,I718,B50TF15 CL-D,LEAP A/C,93689-VSE-15-02412,4,,,,,Triumph- SanD ,10.33,Welded Ring Products,$400,,n,,n,,shaped ring,,5 weeks,
104,2464M72P01,2464M72P01.000W,"RETAINER, HPT",0.985,23.762,26.528,I718,B50TF15 CL-F or AMS 7490 (FWR),LEAP A/C,93689-VSE-15-02413,5,,,,,Liyang ,27.62,Welded Ring Products,$989,,y,y,y,10/5/15,shaped ring,11/15/15,5 weeks,
104,2464M72P01,2464M72P01.000W,"RETAINER, HPT",0.985,23.762,26.528,I718,B50TF15 CL-F or AMS 7490 (FWR),LEAP A/C,93689-VSE-15-02413,3,,,,,GE Suzhou  ,27.62,Welded Ring Products,$989,,n,n,n,,shaped ring,,5 weeks,
105,2554M83P01 ,2554M83P01.000R,"SHEILD, HEAT - COMBUSTOR CASE",1.725,24.415,24.995,718Plus,B50TF317 CL-B,Leap-1B,93689-VSE-15-03675 ,5,,,,,Satellite ,22.51,Welded Ring Products,$735,,y,y,y,9/7/15,,10/19/15,5 weeks,Xian needs heat treat done @ supplier. 
110,2541M82P01,2541M82P01.000W,"RETAINER, AFT - HIGH PRESSURE TURBI",0.982,23.079,25.859,I718,B50TF15 CL-F,Leap-1B,93689-VSE-15-02420,5,,,,,Liyang ,26.62,Welded Ring Products,$952,,n,n,n,,shaped ring,,5 weeks,
115,2547M00P01,2547M00P01.000W,"RING, RETAINER - HIGH PRESSURE TURB",0.17,14.44,14.824,I718,B50TF14 CL-E,Leap-1B,93689-VSE-15-02421,5,,,,,B&F ,8.05,Welded Ring Products,$128,,n,n,n,,1=4 ring,,5 weeks,
163, 2468M80G01,4013726-330P04,"CASE, COMPRESSOR STATOR - AFT INNER",1.0729,18.0208,19.665,I909,C50TF95 CL-B,LEAP A/C,VSE Voided part does not need VSE,,,,,,PCC WB,20.81,Welded Ring Products,$770,,n,n,n,,shaped ring,,5 weeks,
163, 2468M80G01,4013726-330P04,"CASE, COMPRESSOR STATOR - AFT INNER",1.0729,18.0208,19.665,I909,C50TF95 CL-B,LEAP A/C,VSE Voided part does not need VSE,,,,,,Samsung,20.81,Welded Ring Products,$770,,n,n,n,,shaped ring,,5 weeks,
168,2464M25G02,2464M25P03.004R,Impingement Ring ,0.503,23.044 ¯,23.794 ¯,Hast-X,AMS 5536 or AMS5754,LEAP A/C,93689-VSE-15-02425,2,,,,,Triumph SanD,35.87,Welded Ring Products,$355,,n,n,n,,1=4 ring,,5 weeks,
169,2464M25G02,2464M25P04.005R,Impingement Ring ,0.586,23.200 ¯,24.174 ¯,Hast-X,AMS 5536 or AMS5754,LEAP A/C,93689-VSE-15-02426,2,,,,,Triumph SanD,36.43,Welded Ring Products,$412,,n,n,n,,1=3 ring,,5 weeks,
173,2521M47G03,2521M47P03.000W ,"TCF Seal, Transition Duct Inner",0.776,19.289,21.371,Inco 718,B50TF15 CL-D,Leap-1B,93689-VSE-15-02427,5,,,,,Xian ,22.67,Welded Ring Products,$670,,n,n,n,,shaped ring,,5 weeks,
