Unison Engine Components - Mountaintop & Tru-Form Material Baseline,,,,,,,,,,,,,,,
GE P/N,ENGINE PROGRAM,Machine Shop,Alloy, $/Lb. ,Bar Wgt (lbs),Bar Weight  as Singles,Tub 1=?,Bar Weight as Single Ring from Tub, Material , VA , LTA Price ,2013    2% ,2014    2%,2015   2%,2016 Flat
1317M49P01,F110,Unison Wilkes-Barre,Waspaloy, $30.18 ,98,98,1,98.0," $2,958 "," $1,072 "," $4,030 "," $3,949.05 "," $3,870.07 "," $3,792.66 "," $3,792.66 "
1319M22P02,CFM56,B&F,I-718, $24.84 ,19,19,10,1.9, $472 , $299 , $771 , $755.54 , $740.43 , $725.62 , $725.62 
1386M88P04,F110,Unison Wilkes-Barre/Dover Tool,Waspaloy, $30.18 ,98,98,1,98.0," $2,958 "," $1,072 "," $4,030 "," $3,949.05 "," $3,870.07 "," $3,792.66 "," $3,792.66 "
1327M72G02,CF6,Jet Industries,I-718, $21.84 ,9.6,9.6,1,9.6, $210 , $151 , $361 , $353.66 , $346.58 , $339.65 , $339.65 
1327M74P01,CF6,Barnes/ TOOL SALES,I-718, $21.84 ,5.3,5.3,3,1.8, $116 , $111 , $226 , $221.95 , $217.51 , $213.16 , $213.16 
1358M80P04,CFM,Unison Suzhou,I-718, $22.64 ,15.6,15.6,1,15.6, $353 , $216 , $569 , $557.80 , $546.64 , $535.71 , $535.71 
1358M35,CFM56,SMITH WEST/Sonic Machine,Waspaloy, $30.20 ,23.4,23.4,1,23.4, $707 , $347 ," $1,054 "," $1,032.61 "," $1,011.95 ", $991.72 , $991.72 
1386M15,F110/F118,Unison Asheville/Dover Tool,R-41, $37.38 ,66.6,66.6,1,66.6," $2,490 ", $888 ," $3,378 "," $3,309.96 "," $3,243.76 "," $3,178.88 "," $3,178.88 "
9977011-396,F110/F118,Jet Engine,I-718, $22.64 ,25.9,25.9,1,25.9, $586 , $227 , $813 , $797.11 , $781.17 , $765.54 , $765.54 
1386M88P06,F110/F118,Unison Wilkes-Barre,R-41, $37.38 ,99.8,99.8,1,99.8," $3,731 "," $1,326 "," $5,057 "," $4,955.39 "," $4,856.29 "," $4,759.16 "," $4,759.16 "
1441M35P01,F110 ,NUMET,R-41, $37.61 ,32.3,32.3,5,6.5," $1,215 ", $534 ," $1,749 "," $1,713.83 "," $1,679.55 "," $1,645.96 "," $1,645.96 "
4013081-600P08,F110,TEI,Waspaloy, $30.18 ,134.7,134.7,1,134.7," $4,065 "," $1,450 "," $5,515 "," $5,404.94 "," $5,296.84 "," $5,190.91 "," $5,190.91 "
1473M44P01,CF6-50,NUMET,R-41, $37.91 ,66.21,66.21,1,66.2," $2,510 ", $854 ," $3,364 "," $3,296.74 "," $3,230.81 "," $3,166.19 "," $3,166.19 "
1498M73P05,CFM56,Liming,R-41, $37.68 ,81.6,81.6,10,8.2," $3,075 "," $1,021 "," $4,096 "," $4,013.77 "," $3,933.50 "," $3,854.83 "," $3,854.83 "
1499M57P03,CFM56,Unison Wilkes-Barre / GUIZHOU,Waspaloy, $30.20 ,48.5,48.5,1,48.5," $1,465 ", $564 ," $2,029 "," $1,988.13 "," $1,948.36 "," $1,909.40 "," $1,909.40 "
