Finish Machine Supplier,Supplier Code,Identify if current or newly awarded part,GE Ordered Part Number  ie; Finish Machine Part #/Kit # Assembly#,Engine Program,"If Kit/Assembly,  Finish Part # that goes into Kit",# of Parts per Kit,Raw Material Part Number,Raw Material Source,Plant, 2016 Raw Material Price on a per unit part basis , 2016 Total price paid to R/M Source ie; sleeve price ,Yield (sleeve to unit ratio),"R/M Classification IE; Closed Die Forging, Seamless Ring, Flash Welded Ring","Material Type; IN718, Titanium, Rene,",Dimensions of Part ordered from Forger or reference sketch #,"State any operations performed by forger ie; Heat Treat, Parting, Machining, etc.",,QPA,QPE,Billet Diameter,Weight ,Weight Type,ID
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,1288M41G05,CF6-80C,N/A,N/A,1288M41G05,Alcoa,Fontana," $3,435.00 ", N/A ,1,FSR,INCO 718,"18.750"" O.D  X  8.790""  I.D  X  2.269"" WIDE",N/A,,,,,,o,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,1288M41G06,CF6-80C,N/A,N/A,1288M41G06,Alcoa,Fontana," $3,435.00 ", N/A ,1,FSR,INCO 718,"18.750"" O.D  X  8.790""  I.D  X  2.269"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,1316M38G01,GENX/GP7200,N/A,N/A,1316M38G01,Welded Ring Products,WRP," $1,566.00 ", N/A ,1,FSR,WASPALOY,"25.053"" O.D  X  20.835""  I.D  X  2.225"" WIDE",N/A,,,,,35.18,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,1358M44P01,F100,N/A,N/A,1358M44P01,Alcoa,Rancho Cucamonga," $5,454.00 ", N/A ,1,FSR,TITANIUM,"27.080"" O.D  X  24.075""  I.D  X  1.040"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,1385M58P01,N/A,N/A,N/A,4013337-101P02,Alcoa,Rancho Cucamonga," $3,496.00 ", N/A ,1,FSR,WASPALOY,"21.100"" O.D  X  15.950""  I.D  X  4.006"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,1387M99P04,F110,N/A,N/A,1387M99P04,Alcoa,Rancho Cucamonga," $1,799.00 ", N/A ,1,FSR,INCO 718,"19.940"" O.D  X  13.860""  I.D  X  4.390"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,17A148-031P01,CF34/100/E,N/A,N/A,17A148-031P01,Alcoa,Rochester, $559.00 ," $2,795.00 ",1=5,SL,INCO 600,"21.760"" O.D  X  21.000""  I.D  X  2.358"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,1856M45P01,CF6-80C,N/A,N/A,1856M45P01,Alcoa,Fontana, $547.00 , N/A ,1,FSR,A-286,"6.313"" O.D  X  5.75""  I.D  X  5.270"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,2032M79P01,GP7200,N/A,N/A,2032M79P01,Alcoa,Fontana, $88.00 , $528.00 ,1=6,SL,INCO 718,"8.279"" O.D  X  7.359""  I.D  X  2.860"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,2041M71P01,GP7200,N/A,N/A,2041M71P01,Frisa,Frisa," $1,643.32 ", N/A ,1,Seamless Ring,INCO 718,"13.361"" O.D  X  10.090""  I.D  X  4.000"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,2044M72P01,CF34/100/E,N/A,N/A,2044M72P01,Alcoa,Rochester, $309.00 , N/A ,1,FSR,4340 STEEL,"10.160"" O.D  X  5.970""  I.D  X  2.570"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,2256M83P01,CF34-10,N/A,N/A,2256M83P01,PCC,Carlton," $2,117.00 ", N/A ,1,FSR,INCO 718,"26.703"" O.D  X  25.815""  I.D  X  1.499"" WIDE",SPLITTING,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,2477M27P02,PASSPORT 20,N/A,N/A,2477M27P02,Alcoa,Rochester, $918.00 , N/A ,1,FSR,INCO 718,"6.660"" O.D  X  4.500""  I.D  X  3.100"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,2479M19P02,PASSPORT 20,N/A,N/A,2479M19P02,Alcoa,Rochester," $1,032.00 ", N/A ,1,FSR,15-5PH,"14.125"" O.D  X  8.702""  I.D  X  3.032"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,2483M04P01,PASSPORT 20,N/A,N/A,2483M04P01,Alcoa,Rochester," $1,750.00 ", N/A ,1,FSR,A-286,"12.219"" O.D  X  6.188""  I.D  X  1.969"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,2483M41P02,PASSPORT 20,N/A,N/A,2483M41P02,Alcoa,Rochester," $1,585.00 ", N/A ,1,FSR,INCO 718,"7.420"" O.D  X  3.900""  I.D  X  2.620"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,2488M09P01,F110,N/A,N/A,2488M08P01,Alcoa,Rancho Cucamonga," $2,607.00 ", N/A ,1,FSR,INCO 718,"19.560"" O.D  X  14.190""  I.D  X  1.895"" WIDE",ROUGH MACHINED & ULTRASONIC,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,2601M37G01,PASSPORT 20,N/A,N/A,2514M97P01,Alcoa,Rochester," $2,344.00 ", N/A ,1,FSR,RENE 41,"14.630"" O.D  X  11.060""  I.D  X  1.950"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,2626M76P01,GE9X,N/A,N/A,2626M76P01,Larson,Larson, $185.00 , N/A ,1,FSR,STEEL,"8.640"" O.D  X  7.350""  I.D  X  1.280"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,2626M80P01,GE9X,N/A,N/A,2626M80P01,Alcoa,Rochester," $4,820.00 ", N/A ,1,FSR,INCO 718,"15.623"" O.D  X  11.444""  I.D  X  4.486"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,2629M62G01,LEAP X,N/A,N/A,2629M62G01,Alcoa,Fontana," $1,184.00 ", N/A ,1,FSR,15-5PH,"12.273"" O.D  X  6.570""  I.D  X  4.927"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,2647M34P01,GE9X,N/A,N/A,39812F,Alcoa,Verde," $4,470.00 ", N/A ,1,SL,TITANIUM,"33.345"" O.D  X  22.455""  I.D  X  1.252"" WIDE",SPLITTING,,,,,,,
