ID,Part Number,Nomenclature ,QPA,QPE,GE NEG,Finished Part Supplier ,Engine Program,Engine Model,2015 QTY,Part Type,RM-Type,R/M Supplier,Plant,Yield ,Billet Diameter,Weight,Weight Type,Alloy,Spec,Flash Welding Permitted?,"Extend, Remove, or Negotiate?", R/M Unit Price 2014 , R/M Unit Price 2015 ,PO Amended  Y/N?, 2015 RM Delta , 2015 Material Deflation , 2015 Material Extended Value ,Machine Part Comments,NPI  - Leap/PP,Chip Revert  Part?,Alloy Family
1,2301M66P02,"SEAL, ROT 4R AFT (GENX)",1,1,Yes,80739-PARADIGM PRECISION - TEMPE OPERATIONS   ,Genx,,102,2301M66P02,Seamless,Firth_Rixson,Suzhou,1=1,6,70,Billet ,I-718,B50TF15,,," $1,746.36 "," $1,711.43 ",Yes, $(34.93)," $(3,562.86)"," $174,565.86 ",Liming new source,,,0
2,17A130-946P03,OUTER FLANGE,1,,Yes,14750-B&F MACHINE                             ,J85,,0,TF17A130-946P04,Flash Welded,PCC,MTTP (TruForm),1=2,0,0,0,0,0,,," $1,225.00 "," $1,225.00 ",Yes, $-   , $-   , $-   ,,,,0
3,2610M42P01,COVER BOLT,6,6,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,GP7200,,576,TF2610M42P01,Flash Welded,PCC,MTTP (TruForm),1=3=18,0,0,0,0,0,,, $55.06 , $55.06 ,Yes, $-   , $-   ," $31,714.56 ",GP Part. Need added to RM LTA,,,0
4,5104T75P01,"RET. SHRD LPT, F414",38,38,Yes,49162-JET INDUSTRIES                          ,F414,,7042,5104T75P01MR11,Flash Welded,PCC,MTTP (TruForm),1=1,61.95,61.95,,R-41,0,,, $7.77 , $7.61 ,Yes, $(0.16)," $(1,126.72)"," $53,589.62 ",,,,0
5,3074T11P02,"RETAINER, HPT SHROUD (F414)",1,1,Yes,14750-B&F MACHINE                             ,F414,,184,3074T11P02,Flash Welded,PCC,MTTP (TruForm),1=1,0,0,0,0,0,,, $9.22 , $9.04 ,Yes, $(0.18), $(33.12)," $1,663.36 ",,,,0
6,3074T11P01,"RETAINER, HPT SHROUD (F414)",29,29,Yes,14750-B&F MACHINE                             ,F414,,7870,3074T11P01,Flash Welded,PCC,MTTP (TruForm),1=1,0,0,0,0,0,,, $9.22 , $9.04 ,Yes, $(0.18)," $(1,416.60)"," $71,144.80 ",,,,0
7,5104T80P01,"CLIP,RETAINING,LPT, F414",19,19,Yes,49162-JET INDUSTRIES                          ,F414,,1297,5104T80P01MR8,Flash Welded,PCC,MTTP (TruForm),1=8,,38.6,Bar,R-41,0,,, $13.05 , $12.79 ,Yes, $(0.26), $(337.22)," $16,588.63 ",,,,0
8,1441M35P01,"CLIP,RET",22,22,Yes,28138-ADOM ENGINEERING                        ,F110,,2554,1441M35P01,Flash Welded,PCC,MTTP (TruForm),1=105,32.3,32.3,,R-41,0,,, $15.99 , $15.67 ,Yes, $(0.32), $(817.28)," $40,021.18 ",,,,0
9,5106T65P01,"RETAINER,NOZZLE",19,19,Yes,49162-JET INDUSTRIES                          ,F414,,1289,5106T65P01,Flash Welded,PCC,MTTP (TruForm),1=144,81.3,81.3,,R-41,0,,, $27.13 , $26.59 ,Yes, $(0.54), $(696.06)," $34,274.51 ",,,,0
10,9321M30P04,HPT SHROUD HANGER MAKER FROM 9321M30P03,23,46,Yes,61701-MOELLER MANUFACTURING                   ,F110/F118,,1188,9321M30P04,Flash Welded,PCC,MTTP (TruForm),1=23,0,27.3,Bar,I-718,0,,, $39.38 , $38.59 ,Yes, $(0.79), $(938.52)," $45,844.92 ",,,,0
11,9321M30P04,HPT SHROUD HANGER MAKER FROM 9321M30P03,23,46,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,F110/F118,,1188,9321M30P04,Flash Welded,PCC,MTTP (TruForm),1=23,0,27.3,Bar,I-718,0,,, $39.38 , $38.57 ,Yes, $(0.81), $(962.28)," $45,821.16 ",,,,0
12,1804M16P04,"CLIP, INNER RET. (GE90)",,,Yes,96140-BARNES AEROSPACE WINDSOR DIV            ,GE90,,133,1347D01,Flash Welded,PCC,MTTP (TruForm),1=143,0,96.03,Bar,R-41,0,,, $42.45 , $41.60 ,Yes, $(0.85), $(113.05)," $5,532.80 ",Moving to new p/n,,,0
13,1839M42P01,"RETAINING, CLIP(GE90)",12,12,Yes,96140-BARNES AEROSPACE WINDSOR DIV            ,GE90,,5850,1603d01,Flash Welded,PCC,MTTP (TruForm),1=133,140.78,140.78,,R-41,0,,, $50.06 , $49.05 ,Yes, $(1.01)," $(5,908.50)"," $286,942.50 ",,,,0
14,1840M47P01,"SEAL, SEG,AIR(GE90)",12,12,Yes,96140-BARNES AEROSPACE WINDSOR DIV            ,GE90,,0,1607D01,Flash Welded,PCC,MTTP (TruForm),1=401,0,392.88,Bar,R-41,0,,, $51.67 , $50.64 ,Yes, $(1.03), $-   , $-   ,,,,0
15,5101T36P02,RET. RING,1,1,Yes,65585-NUMET MACHINING TECHNIQUES              ,F414,,82,TF-5101T36P02,Flash Welded,PCC,MTTP (TruForm),1=5,0,0,0,0,0,,, $72.41 , $70.97 ,Yes, $(1.44), $(118.08)," $5,819.54 ",,,,0
16,1327M74P01,SPCR SEAL,1,1,Yes,43501-HANSEN ENGINEERING & MACHINERY          ,CF6,,185,1327M74P01,Flash Welded,PCC,MTTP (TruForm),1=3,0,5.3,Bar,I-718,B50TF15,,, $72.50 , $71.05 ,Yes, $(1.45), $(268.25)," $13,144.25 ",,,,0
17,1327M74P01,SPCR SEAL,1,1,Yes,61701-MOELLER MANUFACTURING                   ,CF6,,185,1327M74P01,Flash Welded,PCC,MTTP (TruForm),1=3,0,5.3,Bar,I-718,B50TF15,,, $72.50 , $71.05 ,Yes, $(1.45), $(268.25)," $13,144.25 ",,,,0
18,9299M76P08,"RING, DAMPENING",1,1,Yes,96140-BARNES AEROSPACE WINDSOR DIV            ,GP7200,,144,9299M76P05,Flash Welded,PCC,MTTP (TruForm),1=13,0,0,0,0,0,,, $77.27 , $75.69 ,Yes, $(1.58), $(227.52)," $10,899.36 ",,,,0
19,9299M76P05,RING,1,1,Yes,96140-BARNES AEROSPACE WINDSOR DIV            ,CF6,,201,9299M76P05,Flash Welded,PCC,MTTP (TruForm),1=13,0,30.98,Bar,I-718,B50TF15,,, $77.27 , $75.69 ,Yes, $(1.58), $(317.58)," $15,213.69 ",,,,0
20,1840M79P01,"STIFFENER, INNER(GE90)",12,12,Yes,96140-BARNES AEROSPACE WINDSOR DIV            ,GE90,,3109,1731D01,Flash Welded,PCC,MTTP (TruForm),1=72,124.37,124.37,,R-41,0,,, $82.41 , $80.76 ,Yes, $(1.65)," $(5,129.85)"," $251,082.84 ",,,,0
21,1499M57P03,HPT SHROUD HANGERS,23,23,Yes,65585-NUMET MACHINING TECHNIQUES              ,CFM56,,0,1499M57P03,Flash Welded,PCC,MTTP (TruForm),1=23,8,87.0,Yielded,WASP,AMS 5707,,, $84.71 , $83.02 ,Yes, $(1.69), $-   , $-   ,,,,Ni
22,9977013-682G01,RETAINER KIT(OGV)(GE90),,,Yes,65585-NUMET MACHINING TECHNIQUES              ,GE90,,4,1694M17,Flash Welded,PCC,MTTP (TruForm),1=3,0,49.0,0,WASP,AMS 5707,,, $84.71 , $83.02 ,Yes, $(1.69), $(6.76), $332.08 ,,,,Ni
23,1499M57P03,HPT SHROUD HANGERS,23,23,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,CFM56,,0,1499M57P03,Flash Welded,PCC,MTTP (TruForm),1=23,8,87.0,Yielded,WASP,AMS 5707,,, $84.71 , $83.01 ,Yes, $(1.70), $-   , $-   ,,,,Ni
24,2047M36P01,"RING, RETAINER",1,1,Yes,81749-SPACE-CRAFT MANUFACTURING               ,GP7200,,159,2047M36P01,Flash Welded,PCC,MTTP (TruForm),1=8,0,25.68,Bar,I-718,B50TF15,,, $101.70 , $99.66 ,Yes, $(2.04), $(324.36)," $15,845.94 ",,,,0
25,2116M69P01,"RING, DAMPER",1,1,No,61701-MOELLER MANUFACTURING                   ,Genx,,277, TF2116M69P01-A ,Flash Welded,PCC,MTTP (TruForm),1=12,0,0,0,0,0,,, $115.10 , $112.80 ,N/A, $(2.30), $(637.10)," $31,245.60 ",,,,0
26,5104T60P04,"RING,DAMPER",1,1,Yes,49162-JET INDUSTRIES                          ,F414,,50,TF5104T60P04,Flash Welded,PCC,MTTP (TruForm),1=1,0,28.06,Bar ,I-718,0,,, $120.17 , $117.77 ,Yes, $(2.40), $(120.00)," $5,888.50 ",,,,0
27,5104T60P03,"RING,DAMPER",1,1,Yes,49162-JET INDUSTRIES                          ,F414,,78,TF5104T60P03,Flash Welded,PCC,MTTP (TruForm),1=7,0,29.4,Bar,I-718,0,,, $126.66 , $124.12 ,Yes, $(2.54), $(198.12)," $9,681.36 ",,,,0
28,1854M96G01,LINE ASSY-COMP,9,9,Yes,61701-MOELLER MANUFACTURING                   ,CF6,,78,1854M97P01,Flash Welded,PCC,MTTP (TruForm),1=10,0,47,0,I-718,0,,, $136.15 , $133.43 ,Yes, $(2.72), $(212.16)," $10,407.54 ",,,,0
29,1854M96G01,LINE ASSY-COMP,9,9,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,CF6,,78,1854M97P01,Flash Welded,PCC,MTTP (TruForm),1=10,0,47,0,I-718,0,,, $136.15 , $133.40 ,Yes, $(2.75), $(214.50)," $10,405.20 ",,,,0
30,1854M96G02,LINE ASSY-COMP,1,1,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,CF6,,55,1854M97P01,Flash Welded,PCC,MTTP (TruForm),1=10,0,47,0,I-718,0,,, $136.15 , $133.40 ,Yes, $(2.75), $(151.25)," $7,337.00 ",,,,0
31,2047M20P01,"RING, DAMPER",1,1,Yes,49162-JET INDUSTRIES                          ,GENX,,375,2047M20P01,Flash Welded,PCC,MTTP (TruForm),1=4,6,79.0,Yielded,X750,AMS 5668,,, $143.88 , $141.00 ,Yes, $(2.88)," $(1,080.00)"," $52,875.00 ",,,,Ni
32,5060T94P01,"RING,TURBINE STATOR",1,1,Yes,61701-MOELLER MANUFACTURING                   ,CF34,,562,5060T94P01,Flash Welded,PCC,MTTP (TruForm),1=3,0,10.98,Bar,Waspaloy,0,,, $148.23 , $145.27 ,Yes, $(2.96)," $(1,663.52)"," $81,641.74 ",,,,0
33,5106T66P01,LPT NOZZLE AXIAL RET. F414,1,1,Yes,14750-B&F MACHINE                             ,T700,,85,5106T66P01,Flash Welded,PCC,MTTP (TruForm),1=10,0,37.01,Bar,R-41,0,,, $181.88 , $178.24 ,Yes, $(3.64), $(309.40)," $15,150.40 ",,,,0
34,4124T56P01,SEAL RING METAL OUTER NOZZLE,1,1,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,CF34,,888,4096706-380p02,Flash Welded,PCC,MTTP (TruForm),1=4,0,26.09,Bar,HAST-X,0,,, $202.70 , $198.64 ,Yes, $(4.06)," $(3,605.28)"," $176,392.32 ",,,,0
35,9899539-355P01,TF34 S10 RING,,,Yes,65585-NUMET MACHINING TECHNIQUES              ,TF34,,0,9899539-355P01,Flash Welded,PCC,MTTP (TruForm),1=2,0,17.1,Bar,I-600,0,,, $242.98 , $238.12 ,Yes, $(4.86), $-   , $-   ,,,,0
36,17A190-540P01,INNER RING,,,Yes,44278-PARADIGM PRECISION - MEX                ,F110,,64,17A166-946P01,Flash Welded,PCC,MTTP (TruForm),1=9,0,44.28,0,H-188,0,,, $250.48 , $245.47 ,Yes, $(5.01), $(320.64)," $15,710.08 ",,,,0
37,4096691-929P01,RING STAGE 9,,,Yes,44278-PARADIGM PRECISION - MEX                ,CF34,,392,4096691-929P01,Flash Welded,PCC,MTTP (TruForm),1=1,0,6.5,Bar,I-718,B50TF15,,, $255.31 , $250.20 ,Yes, $(5.11)," $(2,003.12)"," $98,078.40 ",,,,0
38,4096524-679P02,STAGE 6 SEGMENT,,,Yes,67013-PARADIGM PRECISION-MALDEN OPERATIONS    ,0,,3234,4096694-766P01,Flash Welded,PCC,MTTP (TruForm),1=10,0,85.7,0,I-718,0,,, $258.87 , $253.69 ,Yes, $(5.18)," $(16,752.12)"," $820,433.46 ",,,,0
39,4096691-928P01,RING STAGE 8,,,Yes,44278-PARADIGM PRECISION - MEX                ,CF34,,398,4096691-928P05,Flash Welded,PCC,MTTP (TruForm),1=1,0,7.4,Bar,I-718,B50TF15,,, $278.68 , $273.10 ,Yes, $(5.58)," $(2,220.84)"," $108,693.80 ",,,,0
