Buyer,Part Number,Nomenclature ,QPA,GE NEG,Finished Part Supplier ,Engine Program,2015 QTY,Raw Material P/N,RM-Type,R/M Supplier,Plant,Yield , R/M Unit Price 2014 , R/M Unit Price 2015 ,PO Amended  Y/N?, 2015 RM Delta ,2015 Material Deflation,2015 Material Extended Value,Machine Part Comments,NPI  - Leap/PP,Chip Revert  Part?,,,,,
950-CHIPMAN       ,2301M66P02,"SEAL, ROT 4R AFT (GENX)",,Yes,80739-PARADIGM PRECISION - TEMPE OPERATIONS   ,Genx,102,2301M66P02, ,Firth_Rixson,Suzhou,1=1,"$1,746.36 ","$1,711.43 ",Yes, (34.93)," (3,562.86)"," 174,565.86 ",Liming new source,,,,,,,
951-WELLING       ,17A130-946P03,OUTER FLANGE,1,Yes,14750-B&F MACHINE                             ,J85,0,TF17A130-946P04,Flash Welded,PCC,MTTP (TruForm),1=2,"$1,225.00","$1,225.00",Yes, -   , -   , -   ,,,,,,,,
952-NEAL          ,2610M42P01,COVER BOLT,,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,GP7200,576,TF2610M42P01,Flash Welded,PCC,MTTP (TruForm),1=3=18,$55.06 ,$55.06 ,Yes, -   , -   ," 31,714.56 ",GP Part. Need added to RM LTA,,,,,,,
332-KLAYER        ,5104T75P01,"RET. SHRD LPT, F414",,Yes,49162-JET INDUSTRIES                          ,F414,7042,5104T75P01MR11,Flash Welded,PCC,MTTP (TruForm),1=1,$7.77 ,$7.61 ,Yes, (0.16)," (1,126.72)"," 53,589.62 ",,,,,,,,
951-WELLING       ,3074T11P02,"RETAINER, HPT SHROUD (F414)",1,Yes,14750-B&F MACHINE                             ,F414,184,3074T11P02,Flash Welded,PCC,MTTP (TruForm),1=1,$9.22 ,$9.04 ,Yes, (0.18), (33.12)," 1,663.36 ",,,,,,,,
951-WELLING       ,3074T11P01,"RETAINER, HPT SHROUD (F414)",1,Yes,14750-B&F MACHINE                             ,F414,7870,3074T11P01,Flash Welded,PCC,MTTP (TruForm),1=1,$9.22 ,$9.04 ,Yes, (0.18)," (1,416.60)"," 71,144.80 ",,,,,,,,
332-KLAYER        ,5104T80P01,"CLIP,RETAINING,LPT, F414",,Yes,49162-JET INDUSTRIES                          ,F414,1297,5104T80P01MR8,Flash Welded,PCC,MTTP (TruForm),1=8,$13.05 ,$12.79 ,Yes, (0.26), (337.22)," 16,588.63 ",,,,,,,,
332-KLAYER        ,1441M35P01,"CLIP,RET",,Yes,28138-ADOM ENGINEERING                        ,F110,2554,1441M35P01,Flash Welded,PCC,MTTP (TruForm),1=105,$15.99 ,$15.67 ,Yes, (0.32), (817.28)," 40,021.18 ",,,,,,,,
332-KLAYER        ,5106T65P01,"RETAINER,NOZZLE",,Yes,49162-JET INDUSTRIES                          ,F414,1289,5106T65P01,Flash Welded,PCC,MTTP (TruForm),1=144,$27.13 ,$26.59 ,Yes, (0.54), (696.06)," 34,274.51 ",,,,,,,,
92P-DYKES         ,9321M30P04,HPT SHROUD HANGER MAKER FROM 9321M30P03,,Yes,61701-MOELLER MANUFACTURING                   ,F110/F118,1188,9321M30P04,Flash Welded,PCC,MTTP (TruForm),1=23,$39.38 ,$38.59 ,Yes, (0.79), (938.52)," 45,844.92 ",,,,,,,,
952-NEAL          ,9321M30P04,HPT SHROUD HANGER MAKER FROM 9321M30P03,,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,F110/F118,1188,9321M30P04,Flash Welded,PCC,MTTP (TruForm),1=23,$39.38 ,$38.57 ,Yes, (0.81), (962.28)," 45,821.16 ",,,,,,,,
952-NEAL          ,1804M16P04,"CLIP, INNER RET. (GE90)",,Yes,96140-BARNES AEROSPACE WINDSOR DIV            ,GE90,133,1347D01,Flash Welded,PCC,MTTP (TruForm),1=143,$42.45 ,$41.60 ,Yes, (0.85), (113.05)," 5,532.80 ",Moving to new p/n,,,,,,,
952-NEAL          ,1839M42P01,"RETAINING, CLIP(GE90)",,Yes,96140-BARNES AEROSPACE WINDSOR DIV            ,GE90,5850,1603d01,Flash Welded,PCC,MTTP (TruForm),1=133,$50.06 ,$49.05 ,Yes, (1.01)," (5,908.50)"," 286,942.50 ",,,,,,,,
952-NEAL          ,1840M47P01,"SEAL, SEG,AIR(GE90)",,Yes,96140-BARNES AEROSPACE WINDSOR DIV            ,GE90,0,1607D01,Flash Welded,PCC,MTTP (TruForm),1=401,$51.67 ,$50.64 ,Yes, (1.03), -   , -   ,,,,,,,,
333-LEADER        ,5101T36P02,RET. RING,,Yes,65585-NUMET MACHINING TECHNIQUES              ,F414,82,TF-5101T36P02,Flash Welded,PCC,MTTP (TruForm),1=5,$72.41 ,$70.97 ,Yes, (1.44), (118.08)," 5,819.54 ",,,,,,,,
333-LEADER        ,1327M74P01,SPCR SEAL,,Yes,43501-HANSEN ENGINEERING & MACHINERY          ,CF6,185,1327M74P01,Flash Welded,PCC,MTTP (TruForm),1=3,$72.50 ,$71.05 ,Yes, (1.45), (268.25)," 13,144.25 ",,,,,,,,
92P-DYKES         ,1327M74P01,SPCR SEAL,,Yes,61701-MOELLER MANUFACTURING                   ,CF6,185,1327M74P01,Flash Welded,PCC,MTTP (TruForm),1=3,$72.50 ,$71.05 ,Yes, (1.45), (268.25)," 13,144.25 ",,,,,,,,
952-NEAL          ,9299M76P08,"RING, DAMPENING",,Yes,96140-BARNES AEROSPACE WINDSOR DIV            ,GP7200,144,9299M76P05,Flash Welded,PCC,MTTP (TruForm),1=13,$77.27 ,$75.69 ,Yes, (1.58), (227.52)," 10,899.36 ",,,,,,,,
952-NEAL          ,9299M76P05,RING,,Yes,96140-BARNES AEROSPACE WINDSOR DIV            ,CF6,201,9299M76P05,Flash Welded,PCC,MTTP (TruForm),1=13,$77.27 ,$75.69 ,Yes, (1.58), (317.58)," 15,213.69 ",,,,,,,,
952-NEAL          ,1840M79P01,"STIFFENER, INNER(GE90)",,Yes,96140-BARNES AEROSPACE WINDSOR DIV            ,GE90,3109,1731D01,Flash Welded,PCC,MTTP (TruForm),1=72,$82.41 ,$80.76 ,Yes, (1.65)," (5,129.85)"," 251,082.84 ",,,,,,,,
333-LEADER        ,1499M57P03,HPT SHROUD HANGERS,,Yes,65585-NUMET MACHINING TECHNIQUES              ,CFM56,0,1499M57P03,Flash Welded,PCC,MTTP (TruForm),1=23,$84.71 ,$83.02 ,Yes, (1.69), -   , -   ,,,,,,,,
333-LEADER        ,9977013-682G01,RETAINER KIT(OGV)(GE90),,Yes,65585-NUMET MACHINING TECHNIQUES              ,GE90,4,1694M17,Flash Welded,PCC,MTTP (TruForm),1=3,$84.71 ,$83.02 ,Yes, (1.69), (6.76), 332.08 ,,,,,,,,
952-NEAL          ,1499M57P03,HPT SHROUD HANGERS,,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,CFM56,0,1499M57P03,Flash Welded,PCC,MTTP (TruForm),1=23,$84.71 ,$83.01 ,Yes, (1.70), -   , -   ,,,,,,,,
333-LEADER        ,2047M36P01,"RING, RETAINER",,Yes,81749-SPACE-CRAFT MANUFACTURING               ,GP7200,159,2047M36P01,Flash Welded,PCC,MTTP (TruForm),1=8,$101.70 ,$99.66 ,Yes, (2.04), (324.36)," 15,845.94 ",,,,,,,,
92P-DYKES         ,2116M69P01,"RING, DAMPER",,No,61701-MOELLER MANUFACTURING                   ,Genx,277, TF2116M69P01-A ,Flash Welded,PCC,MTTP (TruForm),1=12,$115.10 ,$112.80 ,N/A, (2.30), (637.10)," 31,245.60 ",,,,,,,,
332-KLAYER        ,5104T60P04,"RING,DAMPER",,Yes,49162-JET INDUSTRIES                          ,F414,50,TF5104T60P04,Flash Welded,PCC,MTTP (TruForm),1=1,$120.17 ,$117.77 ,Yes, (2.40), (120.00)," 5,888.50 ",,,,,,,,
332-KLAYER        ,5104T60P03,"RING,DAMPER",,Yes,49162-JET INDUSTRIES                          ,F414,78,TF5104T60P03,Flash Welded,PCC,MTTP (TruForm),1=7,$126.66 ,$124.12 ,Yes, (2.54), (198.12)," 9,681.36 ",,,,,,,,
92P-DYKES         ,1854M96G01,LINE ASSY-COMP,,Yes,61701-MOELLER MANUFACTURING                   ,CF6,78,1854M97P01,Flash Welded,PCC,MTTP (TruForm),1=10,$136.15 ,$133.43 ,Yes, (2.72), (212.16)," 10,407.54 ",,,,,,,,
952-NEAL          ,1854M96G01,LINE ASSY-COMP,,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,CF6,78,1854M97P01,Flash Welded,PCC,MTTP (TruForm),1=10,$136.15 ,$133.40 ,Yes, (2.75), (214.50)," 10,405.20 ",,,,,,,,
952-NEAL          ,1854M96G02,LINE ASSY-COMP,,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,CF6,55,1854M97P01,Flash Welded,PCC,MTTP (TruForm),1=10,$136.15 ,$133.40 ,Yes, (2.75), (151.25)," 7,337.00 ",,,,,,,,
332-KLAYER        ,2047M20P01,"RING, DAMPER",,Yes,49162-JET INDUSTRIES                          ,GENX,375,2047M20P01,Flash Welded,PCC,MTTP (TruForm),1=4,$143.88 ,$141.00 ,Yes, (2.88)," (1,080.00)"," 52,875.00 ",,,,,,,,
92P-DYKES         ,5060T94P01,"RING,TURBINE STATOR",,Yes,61701-MOELLER MANUFACTURING                   ,CF34,562,5060T94P01,Flash Welded,PCC,MTTP (TruForm),1=3,$148.23 ,$145.27 ,Yes, (2.96)," (1,663.52)"," 81,641.74 ",,,,,,,,
951-WELLING       ,5106T66P01,LPT NOZZLE AXIAL RET. F414,1,Yes,14750-B&F MACHINE                             ,T700,85,5106T66P01,Flash Welded,PCC,MTTP (TruForm),1=10,$181.88,$178.24,Yes, (3.64), (309.40)," 15,150.40 ",,,,,,,,
952-NEAL          ,4124T56P01,SEAL RING METAL OUTER NOZZLE,,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,CF34,888,4096706-380p02,Flash Welded,PCC,MTTP (TruForm),1=4,$202.70 ,$198.64 ,Yes, (4.06)," (3,605.28)"," 176,392.32 ",,,,,,,,
333-LEADER        ,9899539-355P01,TF34 S10 RING,,Yes,65585-NUMET MACHINING TECHNIQUES              ,TF34,0,9899539-355P01,Flash Welded,PCC,MTTP (TruForm),1=2,$242.98 ,$238.12 ,Yes, (4.86), -   , -   ,,,,,,,,
T64-CHIPMAN       ,17A190-540P01,INNER RING,,Yes,44278-PARADIGM PRECISION - MEX                ,F110,64,17A166-946P01,Flash Welded,PCC,MTTP (TruForm),1=9,$250.48 ,$245.47 ,Yes, (5.01), (320.64)," 15,710.08 ",,,,,,,,
T64-CHIPMAN       ,4096691-929P01,RING STAGE 9,,Yes,44278-PARADIGM PRECISION - MEX                ,CF34,392,4096691-929P01,Flash Welded,PCC,MTTP (TruForm),1=1,$255.31 ,$250.20 ,Yes, (5.11)," (2,003.12)"," 98,078.40 ",,,,,,,,
