"Part Number",Nomenclature,"Finished Part Supplier","GENeg?","Engine Program","2015 Qty","Raw Material Part Number","Raw Material Type","Raw Material Source",RAW Material Plant,Yield ," R/M Unit  Price 2015 ",QPA,
1288M41G05,BEARING HOUSING,59102-GE Suzhou,Y,CF6-80/LM6000,53,1288M41G05/G06SR,BEARING HOUSING FORGING,"Firth Rixson Aerospace Components (Su Zhou) Co., Ltd",suzhou,AMS 6414," $3,505.00 ",,
1288M41G06,BEARING HOUSING,59102-GE Suzhou,Y,CF6-80E,37,1288M41G05/G06SR,BEARING HOUSING FORGING,"Firth Rixson Aerospace Components (Su Zhou) Co., Ltd",suzhou,AMS 6414," $3,505.00 ",,
1319M17P02,"SEAL, ROTATING, HIGH PRESSURE TURBINE RE",59102-GE Suzhou,Y,CFM56P    ,965,4013522-267P02,SEAL FORGING(FOR 1319M17P02),"Firth Rixson Aerospace Components (Su Zhou) Co., Ltd",suzhou,AMS 6414, $800.00 ,,
1327M73P02,"SEAL, ROTATING-AIR,BEARING NO 5R",59102-GE Suzhou,Y,CF6-80C/LM6000,131,4013335-520P03,"SEAL,ROTATING,VENT BRG NO 5R(M73&M25)","Firth Rixson Aerospace Components (Su Zhou) Co., Ltd",suzhou,AMS 6414, $485.00 ,,
1358M80P04,RETAINER,59102-GE Suzhou,Y,CFM56P    ,1639,1358M80RM,RETAINER FORGING,Wyman-Gordon Mountaintop,MOUNTAINTOP,AMS 6414, $535.49 ,,
1663M25P01,"SEAL, ROTATING-AIR BEARING NO 5R",59102-GE Suzhou,Y,CF6/LMS100,44,4013335-520P03,"SEAL,ROTATING,VENT BRG NO 5R(M73&M25)","Firth Rixson Aerospace Components (Su Zhou) Co., Ltd",suzhou,AMS 6414, $485.00 ,,
1691M19G03,"LINK, ENGINE MOUNT-FWD",59102-GE Suzhou,Y,GE90      ,438,4096692-180P03,,"Mcwilliams Forge Company, Inc",ROCKAWAY,AMS 6414, $693.00 ,,
1784M71P01,"CASE, COMBUSTION-FWD",59102-GE Suzhou,Y,CFM56,35,4013522-246P01,"CASE, COMBUSTION",Carlton,PARAMOUNT,AMS 6414," $11,262.00 ",,
1784M71P02,"CASE, COMBUSTION-FWD",59102-GE Suzhou,Y,CFM56,402,4013522-246P01,"CASE, COMBUSTION",Carlton,PARAMOUNT,AMS 6414," $11,262.00 ",,
17A148-572P01,RING-MID,59102-GE Suzhou,Y,CFM56,54,17A148-572P01SC,FORGING,Wyman-Gordon Mountaintop,MOUNTAINTOP,AMS 6414, $707.06 ,,
17A166-208P01,LUG RING,59102-GE Suzhou,Y,CFM56,219,17A166-208RM,RING FORGING,Wyman-Gordon Mountaintop,MOUNTAINTOP,AMS 6414," $1,172.97 ",,
17A166-933P01,RING-FORWARD,59102-GE Suzhou,Y,CF34      ,41,17A166-933P01SC,RING FORGING,Wyman-Gordon Mountaintop,MOUNTAINTOP,AMS 6414, $467.55 ,,
17A190-605P03,"LINER,OUTER SHELL",59102-GE Suzhou,Y,CFM56-5B/CFM56-7B,729,17A148-703P01RM,FLASH  WELDED  RING,Wyman-Gordon Mountaintop,MOUNTAINTOP,AMS 6414," $2,800.18 ",,
17A190-606P01,"LINER,INNER SHELL",59102-GE Suzhou,Y,CFM56-5B/CFM56-7B,806,17A148-732P01RM,FLASH  WELDED  RING,Wyman-Gordon Mountaintop,MOUNTAINTOP,AMS 6414," $2,106.28 ",,
1805M12P04,"Seal,Rotating,airbrush, FWD LPT",59102-GE Suzhou,Y,GE90,1,4013437-212,,,,AMS 6414,,,offloaded
1846M37P01,"LINK, FAIL SAFE-AFT ENGINE MOUNT",59102-GE Suzhou,Y,GE90      ,109,4013536-533P01,,"Mcwilliams Forge Company, Inc",ROCKAWAY,AMS 6414," $1,327.00 ",,
1865M53P04,"RETAINER, BLADE-HPT, ROTOR REAR",59102-GE Suzhou,Y,CF3410E,45,1865m52p01,"RETAINER,BLADE-HPT ROTOR-FORGING",ATI Powder Metals,OAKDALE,AMS 6414," $2,525.00 ",,
1873M65P02,CASE AFT,59102-GE Suzhou,Y,CFM56,62,4013522-236P02,"CASE, COMBUSTION",Schlosser Forge Company,RANCHO CUCAMONGA,AMS 6414," $5,847.00 ",,
1873M65P04,CASE AFT,59102-GE Suzhou,Y,CFM56,476,4013522-236P02,"CASE, COMBUSTION",Schlosser Forge Company,RANCHO CUCAMONGA,AMS 6414," $5,847.00 ",,
1962M75P02,"SEAL, ROTATING, AFT-NO 4 BRG",59102-GE Suzhou,Y,GE90      ,65,1128,Seal Forging(for 1962M75P02),FIRTH RIXSON AEROSPACE COMPONENTS SUZHOU CO LTD,suzhou,AMS 6414," $1,406.00 ",,
2002M15P01,"RETAINER, BLADE-HP TURBINE, ROTOR REAR",59102-GE Suzhou,Y,CFM56P    ,100,4013463-006P02,Forging(For 2002M15P01),ATI Powder Metals,OAKDALE,AMS 6414," $33,232.00 ",,
2070M52G04,SUPPORT SHROUND/NOZZLE-LPT,59102-GE Suzhou,Y,CF3410E,46,2070M52G01SC,FORGING,"Firth Rixson Aerospace Components (Su Zhou) Co., Ltd",suzhou,AMS 6414," $4,229.00 ",,
2301M31P01,"HOUSING,BEARING - NO 3 BALL BEARING-NPI",59102-GE Suzhou,Y,GENX,2,GE-2301M31P01,,,,AMS 6414,,,offloaded
2305M47P01,RING RETAINER HPT REAR,59102-GE Suzhou,Y,GENX-2B&1B,272,GE-2305M47P01,Forging,"Firth Rixson Aerospace Components (Su Zhou) Co., Ltd",suzhou,AMS 6414," $1,585.00 ",,
2324M45G01,"Bracket, Cowl Support - RH",59102-GE Suzhou,Y,GENX,2,2324M55P01,,,,AMS 6414,,,offloaded
2337M10G01,"YOKE, FORWARD ENGINE MOUNT",59102-GE Suzhou,Y,GENX-2B,62,2337M80P01,,Ellwood Texas Forge,HOUSTON,AMS 6414," $2,798.00 ",,
2337M20G01,"BRACKET, COWL SUPPORT , RH",59102-GE Suzhou,Y,GENX,3,2337M19P01,,,,AMS 6414,,,offloaded
2375M54G01,"YOKE, FORWARD ENGINE MOUNT",59102-GE Suzhou,Y,GENX-1B,195,2337M80P01,,Ellwood Texas Forge,HOUSTON,AMS 6414," $2,798.00 ",,
2410M51P01,"RETAINER,BLADE-HIGH TURBINE,ROTOR,REAR",59102-GE Suzhou,Y,CFM56P    ,1877,4013463-006P02,Forging(For 2002M15P01),ATI Powder Metals,OAKDALE,AMS 6414," $33,232.00 ",,
4124T92P02,Seal,59102-GE Suzhou,Y,CF34-8C/8E,370,4124T88P01,,Ellwood Texas Forge,HOUSTON,AMS 6414," $1,646.00 ",,
4124T93P03,"AIR SEAL, ROTATING INNER BALANCE PISTON",59102-GE Suzhou,Y,CF34-8C/8E,171,4124T89P01,,Ellwood Texas Forge,HOUSTON,AMS 6414," $1,512.00 ",,
4126T03G02,"HOUSING,BEARING,NO.1&NO.2",59102-GE Suzhou,Y,"CF34-8C,8E",293,4126T02P02,CASTING (For 4126T03G02),PCC - SCHLOSSER,REDMOND,AMS 6414," $5,045.62 ",,
4138T07P03,CF34 COMBUSTION CASE,59102-GE Suzhou,Y,CF34-08E  ,198,45059901,FORGING,Schlosser Forge Company,RANCHO CUCAMONGA,AMS 6414," $10,028.00 ",,
4138T07P04,CF34 COMBUSTION CASE,59102-GE Suzhou,Y,CF34-08C     ,106,45059901,FORGING,Schlosser Forge Company,RANCHO CUCAMONGA,AMS 6414," $10,028.00 ",,
4138T37G01,Link-Engine Mount-Forward,59102-GE Suzhou,Y,CF34-8E  ,254,4138T37G01BAR,Link forging,"Firth Rixson Aerospace Components (Su Zhou) Co., Ltd",suzhou,AMS 6414, $136.00 ,,
4138T61G01,"Bean, Whiffletree-AFT Mount",59102-GE Suzhou,Y,CF34-8D/8E    ,182,4138T88P01,,Ellwood Texas Forge,HOUSTON,AMS 6414," $1,768.00 ",,
4138T69G01,"Link, ENGINE MOUNT - LEFT HAND",59102-GE Suzhou,Y,CF34-8E/8D   ,187,4138T70G02SC,Link Forging,California AMFORGE Corporation,AZUSA,AMS 6414, $576.00 ,,
4138T70G02,"Link, ENGINE MOUNT-RIGHT HAND",59102-GE Suzhou,Y,CF34-8E    ,196,4138T70G02SC,Link Forging,California AMFORGE Corporation,AZUSA,AMS 6414, $576.00 ,,
4138T77G02,"Link,FAILSAFE-ENGINE MOUNT",59102-GE Suzhou,Y,CF34-8E/8D   ,214,4138T77G02BAR,Link Forging,"Firth Rixson Aerospace Components (Su Zhou) Co., Ltd",suzhou,AMS 6414, $63.00 ,,
4145T63P01,"HOUSING, SEAL-NO.3 BEARING",59102-GE Suzhou,Y,"CF34-8C,8E",292,4145T62P01,,PCC Structurals - San Leandro,SAN LEANDRO,AMS 6414," $1,822.20 ",,
5079T58P02,"RING, RETAINING, STG-2 COOLING PLATE",59102-GE Suzhou,Y,"CF34-8C/8E,LM500",345,5079T58P02MR4,FORGING,Wyman-Gordon Mountaintop,MOUNTAINTOP,AMS 6414, $334.44 ,,
9673M66G14,"LEVER,VANE ACTUATION COMPRESSOR STATOR",59102-GE Suzhou,Y,LM6000    ,4,9673M66P01BR,,Bohler International Gmbh NordwestbahnstraBe,VIENNA,AMS 6414, $124.31 ,,
9673M66G22,"LEVER,VANE ACTUATION COMPRESSOR STATOR",59102-GE Suzhou,Y,LM6000    ,150,9673M66P01BR,,Bohler International Gmbh NordwestbahnstraBe,VIENNA,AMS 6414, $124.31 ,,
9673M66G23,"LEVER,VANE ACTUATION COMPRESSOR STATOR",59102-GE Suzhou,Y,CF6-80C       ,218,9673M66P01BR,,Bohler International Gmbh NordwestbahnstraBe,VIENNA,AMS 6414, $124.31 ,,
L59101G01,"HOUSING,BEARING-NO 5R",59102-GE Suzhou,Y,LMS100    ,5,REF-L59101G01,Seal Forging(=12977),"Firth Rixson Aerospace Components (Su Zhou) Co., Ltd",suzhou,AMS 6414," $6,612.00 ",,
2621M71P01,"CASE, COMBUSTOR",59102-GE Suzhou,Y,LEAP 1A/1C,19,4013725-401P01,FORGING(For 2085M68&2500M45),Schlosser Forge Company,RANCHO CUCAMONGA,AMS 6414," $17,971.00 ",,
2548M29P01,"CASE, COMBUSTOR",59102-GE Suzhou,Y,LEAP 1B,6,4013725-401P02,"CASE, COMBUSTOR-FORGING(ForM29P01P03)",Schlosser Forge Company,RANCHO CUCAMONGA,AMS 6414," $18,267.00 ",,
