Changes detected in row 1. Values changed- Billet Diameter: 6=>6, Alloy: I-718=>I-718, Weight: 70=>70, Weight Type: Billet =>Billet , Spec: B50TF15=>B50TF15, Yield: 1=1=>1=1, QPE: =>, R/M Type:  => , Alloy Family: 0=>0, Engine Program: Genx=>Genx
Changes detected in row 19. Values changed- Billet Diameter: 0=>0, Alloy: I-718=>I-718, Weight: 30.98=>30.98, Weight Type: Bar=>Bar, Spec: 0=>0, Yield: 1=13=>1=13, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: GP7200=>GP7200
Changes detected in row 21. Values changed- Billet Diameter: 8=>8, Alloy: WASP=>WASP, Weight: 87.0=>87.0, Weight Type: Yielded=>Yielded, Spec: AMS 5707=>AMS 5707, Yield: 1=23=>1=23, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: Ni=>Ni, Engine Program: CFM56=>CFM56
Changes detected in row 22. Values changed- Billet Diameter: 8=>8, Alloy: WASP=>WASP, Weight: 49.0=>49.0, Weight Type: 0=>0, Spec: AMS 5707=>AMS 5707, Yield: 1=3=>1=3, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: Ni=>Ni, Engine Program: GE90=>GE90
Changes detected in row 23. Values changed- Billet Diameter: 8=>8, Alloy: WASP=>WASP, Weight: 87.0=>87.0, Weight Type: Yielded=>Yielded, Spec: AMS 5707=>AMS 5707, Yield: 1=23=>1=23, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: Ni=>Ni, Engine Program: CFM56=>CFM56
Changes detected in row 31. Values changed- Billet Diameter: 6=>6, Alloy: X750=>X750, Weight: 79.0=>79.0, Weight Type: Yielded=>Yielded, Spec: AMS 5668=>AMS 5668, Yield: 1=4=>1=4, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: Ni=>Ni, Engine Program: GENX=>GENX
Changes detected in row 41. Values changed- Billet Diameter: 0=>0, Alloy: INC 718=>INC 718, Weight: 46.11=>46.11, Weight Type: Per Piece=>Per Piece, Spec: B50TF15 CL-B=>B50TF15 CL-B, Yield: 1=4=>1=4, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: CF6=>CF6
Changes detected in row 42. Values changed- Billet Diameter: 0=>0, Alloy: INC 718=>INC 718, Weight: 46.11=>46.11, Weight Type: Per Piece=>Per Piece, Spec: B50TF15 CL-B=>B50TF15 CL-B, Yield: 1=4=>1=4, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: CF6=>CF6
Changes detected in row 47. Values changed- Billet Diameter: 0=>0, Alloy: INC 718=>INC 718, Weight: 9.76=>9.76, Weight Type: Bar=>Bar, Spec: B50TF15 CL-A=>B50TF15 CL-A, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: CF6=>CF6
Changes detected in row 53. Values changed- Billet Diameter: 0=>0, Alloy: 0=>0, Weight: 0=>0, Weight Type: 0=>0, Spec: 0=>0, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: F110/F101/F118=>F110/F101/F118
Changes detected in row 61. Values changed- Billet Diameter: 0=>0, Alloy: 0=>0, Weight: 0=>0, Weight Type: 0=>0, Spec: 0=>0, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: CT7/ T700=>CT7/ T700
Changes detected in row 68. Values changed- Billet Diameter: 8=>8, Alloy: 903=>903, Weight: 98.4=>98.4, Weight Type: 0=>0, Spec: B50TF151=>B50TF151, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: Ni=>Ni, Engine Program: F404=>F404
Changes detected in row 72. Values changed- Billet Diameter:  6.00 => 6.00 , Alloy: 625=>625, Weight: 71.4=>71.4, Weight Type: 0=>0, Spec: AMS 5666=>AMS 5666, Yield:  1 = 1=> 1 = 1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: TF34=>TF34
Changes detected in row 73. Values changed- Billet Diameter: 8=>8, Alloy: 903=>903, Weight: 98.4=>98.4, Weight Type: 0=>0, Spec: B50TF151=>B50TF151, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: Ni=>Ni, Engine Program: F404=>F404
Changes detected in row 76. Values changed- Billet Diameter: 0=>0, Alloy: 0=>0, Weight: 0=>0, Weight Type: 0=>0, Spec: 0=>0, Yield: 1=401=>1=401, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: GE90=>GE90
Changes detected in row 84. Values changed- Billet Diameter: 0=>0, Alloy: 0=>0, Weight: 0=>0, Weight Type: 0=>0, Spec: 0=>0, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: LM2500=>LM2500
Changes detected in row 86. Values changed- Billet Diameter: 0=>0, Alloy: 0=>0, Weight: 0=>0, Weight Type: 0=>0, Spec: 0=>0, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: CF6-6=>CF6-6
